"","so_PID","so_NAME","so_SHORTNAME","so_productWave","so_colorWave","so_allTWave","so_ratioWave","so_keyW","class_id","CLASS_ID","CLASS_TERM","UCLASS_ID","UCLASS_TERM"
"144","P29992","Guanine nucleotide-binding protein subunit alpha-11;Guanine nucleotide-binding protein subunit alpha-14","GNA11;GNA14",6.31328662015861,3,0.00038745851,7.47208955596534,2694,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"145","O75947","ATP synthase subunit d, mitochondrial","ATP5H",6.31316067624828,3,0.00037651096,7.40725090827336,243,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"146","O00469","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2",6.30269608809823,3,0.00032619172,7.04289767393489,37,"PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"147","P78371","T-complex protein 1 subunit beta","CCT2",6.22345185295357,3,0.00044516602,7.32066015945491,1086,"PC00073","PC00073","chaperonin","PC00072","chaperone"
"148","Q12797","Aspartyl/asparaginyl beta-hydroxylase","ASPH",6.22078981405134,3,0.00021615163,5.87890854228305,1198,"PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"149","O00220","Tumor necrosis factor receptor superfamily member 10A","TNFRSF10A",6.2049217139643,3,0.00019147887,5.60627555800062,2571,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"150","P15586","N-acetylglucosamine-6-sulfatase","GNS",6.20166836724423,3,0.00012941568,4.97141052813059,508,"PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"151","P22695","Cytochrome b-c1 complex subunit 2, mitochondrial","UQCRC2",6.16893575557553,3,0.00015239346,5.10496824818559,584,"PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"152","O00264","Membrane-associated progesterone receptor component 1","PGRMC1",6.1524984695381,3,0.00028000388,6.06144822071141,28,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"153","Q8NFJ5","Retinoic acid-induced protein 3","GPRC5A",6.10139566097837,3,0.00032751329,6.1331347465928,2529,"PC00021","PC00021","G-protein coupled receptor","PC00197","transmembrane signal receptor"
"154","P32004","Neural cell adhesion molecule L1","L1CAM",6.08815356182494,3,0.00016154235,4.91244101839106,686,"PC00125","PC00125","immunoglobulin superfamily cell adhesion molecule","PC00069","cell adhesion molecule"
"155","Q9NVU7","Protein SDA1 homolog","SDAD1",6.07660639844455,3,0.00036844346,6.24619393029372,2957,NA,NA,"Unclassified",NA,"Unclassified"
"156","P68104","Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3","EEF1A1;EEF1A1P5",6.06469918588048,3,3.1695443e-05,2.96020230543424,1072,"PC00223","PC00223","translation factor","PC00263","translational protein"
"157","Q13740","CD166 antigen","ALCAM",6.0419973850371,3,0.0001892209,4.98974669703644,1277,"PC00125","PC00125","immunoglobulin superfamily cell adhesion molecule","PC00069","cell adhesion molecule"
"158","Q15645","Pachytene checkpoint protein 2 homolog","TRIP13",6.03787122628172,3,7.0062291e-05,3.68932141604994,1395,"PC00077","PC00077","chromatin/chromatin-binding, or -regulatory protein","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"159","P00387","NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form","CYB5R3",5.97230187283401,3,0.00026419738,5.25696554248911,309,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"160","Q13813","Spectrin alpha chain, non-erythrocytic 1","SPTAN1",5.96751865741782,3,0.00032238904,5.56313776215322,1279,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"161","P00367","Glutamate dehydrogenase 1, mitochondrial","GLUD1",5.96482195864068,3,0.00038157139,5.84173870426552,308,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"162","Q8WUX1","Sodium-coupled neutral amino acid transporter 5","SLC38A5",5.95043707133185,3,0.00051678059,6.33675070735161,2863,"PC00227","PC00227","transporter","PC00227","transporter"
"163","P13987","CD59 glycoprotein","CD59",5.93082861525893,3,0.00089133409,7.3659376944391,487,NA,NA,"Unclassified",NA,"Unclassified"
"164","P63104","14-3-3 protein zeta/delta","YWHAZ",5.91526695268719,3,0.00059096469,6.43896396144135,1059,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"165","Q00341","Vigilin","HDLBP",5.90223480360845,3,0.0005420032,6.21707799726829,1110,"PC00031","PC00031","RNA metabolism protein","PC00031","RNA metabolism protein"
"166","P21127","Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11A","CDK11B;CDK11A",5.84653206635952,3,5.4742322e-05,2.99977704496587,2679,"PC00167","PC00167","non-receptor serine/threonine protein kinase","PC00260","protein modifying enzyme"
"167","P24821","Tenascin","TNC",5.84366455748106,3,0.00030696971,5.03070346315035,601,"PC00102","PC00102","extracellular matrix protein","PC00102","extracellular matrix protein"
"168","Q13433","Zinc transporter ZIP6","SLC39A6",5.81146399762178,3,0.00015917538,4.03715764408341,2767,"PC00258","PC00258","secondary carrier transporter","PC00227","transporter"
"169","P61006","Ras-related protein Rab-8A","RAB8A",5.80239728799867,3,0.00022911819,4.47676561837592,966,"PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"170","P19105","Myosin regulatory light chain 12A;Myosin regulatory light chain 12B","MYL12A;MYL12B",5.79020094179184,3,0.0044542896,10.8451596094412,2584,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"171","P08913","Alpha-2A adrenergic receptor","ADRA2A",5.77566469328446,3,0.00017633363,4.06146429454409,2654,"PC00021","PC00021","G-protein coupled receptor","PC00197","transmembrane signal receptor"
"172","P13639","Elongation factor 2","EEF2",5.7746661984076,3,0.0018077182,8.17827639451175,480,"PC00222","PC00263","translation factor","PC00223","translational protein"
"173","P16615","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2",5.77290509064241,3,0.0010055043,6.84613166238055,519,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"174","P48047","ATP synthase subunit O, mitochondrial","ATP5O",5.75671276894779,3,0.00034987112,4.92669748457143,817,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"175","P49368","T-complex protein 1 subunit gamma","CCT3",5.7547568911282,3,6.6413588e-05,2.9835168670377,839,"PC00073","PC00073","chaperonin","PC00072","chaperone"
"176","P62937","Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed","PPIA",5.75049343333462,3,0.00060909003,5.79647165960986,1051,"PC00072","PC00072","chaperone","PC00072","chaperone"
"177","P00338","L-lactate dehydrogenase A chain","LDHA",5.70709845332044,3,0.00073704281,5.95702134745368,307,"PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"178","Q8NBJ5","Procollagen galactosyltransferase 1","COLGALT1",5.69886642410568,3,0.00038228283,4.8609936478039,1675,"PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"179","P07954","Fumarate hydratase, mitochondrial","FH",5.67468865512781,3,0.0004167594,4.90609136040426,386,"PC00144","PC00144","lyase","PC00262","metabolite interconversion enzyme"
"180","P07339","Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain","CTSD",5.65243009395729,3,0.0014833403,7.07961497055102,376,"PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"181","Q99623","Prohibitin-2","PHB2",5.64227826298084,3,0.0012867381,6.73542237471495,1934,NA,NA,"Unclassified",NA,"Unclassified"
"182","Q99755","Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha;Putative PIP5K1A and PSMD4-like protein","PIP5K1A;PIPSL",5.63652905813872,3,0.00018999063,3.77182138314072,2901,"PC00137","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"183","Q14432","cGMP-inhibited 3,5-cyclic phosphodiesterase A","PDE3A",5.61166200853597,3,0.00028062449,4.16924920973648,1310,"PC00185","PC00262","hydrolase","PC00121","metabolite interconversion enzyme"
"184","Q99808","Equilibrative nucleoside transporter 1","SLC29A1",5.60850909497617,3,0.00027407834,4.13069313831501,2902,"PC00227","PC00227","transporter","PC00227","transporter"
"185","Q9Y266","Nuclear migration protein nudC","NUDC",5.59854343238911,3,0.0001990701,3.7257978947119,2344,"PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"186","Q8IVF2","Protein AHNAK2","AHNAK2",5.57118124997432,3,0.00051375676,4.8633106348034,1629,NA,NA,"Unclassified",NA,"Unclassified"
"187","Q9P2E9","Ribosome-binding protein 1","RRBP1",5.57113516107579,3,0.00024326483,3.88311510383626,2228,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"188","Q92928","Ras-related protein Rab-1B;Putative Ras-related protein Rab-1C","RAB1B;RAB1C",5.56354261784387,3,0.00076479488,5.45314130430512,2542,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"189","P20020","Plasma membrane calcium-transporting ATPase 1","ATP2B1",5.53782958908507,3,0.00072839501,5.2787505920462,561,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"190","Q99536","Synaptic vesicle membrane protein VAT-1 homolog","VAT1",5.53545309204902,3,0.00059194316,4.95104502692792,1927,"PC00258","PC00258","secondary carrier transporter","PC00227","transporter"
"191","P55084","Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase","HADHB",5.51676526382642,3,0.00053489325,4.74047773026613,933,"PC00042","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"192","P23284","Peptidyl-prolyl cis-trans isomerase B","PPIB",5.49801983495586,3,0.00056325039,4.75261409714693,589,NA,NA,"Unclassified",NA,"Unclassified"
"193","P50416","Carnitine O-palmitoyltransferase 1, liver isoform","CPT1A",5.48867888803733,3,0.00017355915,3.31297308245414,859,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"194","P15311","Ezrin","EZR",5.47381326012491,3,0.00026064689,3.70600760017112,505,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"195","Q96A33","Coiled-coil domain-containing protein 47","CCDC47",5.42611923272052,3,0.00032760986,3.84098478818183,1821,NA,NA,"Unclassified",NA,"Unclassified"
"196","O43175","D-3-phosphoglycerate dehydrogenase","PHGDH",5.42431998703055,3,0.00021280196,3.36894178393099,120,"PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"197","P63096","Guanine nucleotide-binding protein G(i) subunit alpha-1","GNAI1",5.422573605775,3,0.001052544,5.4445536027337,1058,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"198","P22234","Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase","PAICS",5.39215507995373,3,0.00088095054,5.05288243831138,580,NA,NA,"Unclassified",NA,"Unclassified"
"199","P04075","Fructose-bisphosphate aldolase A","ALDOA",5.37153938239368,3,0.0013278286,5.63603818598379,331,"PC00144","PC00144","lyase","PC00262","metabolite interconversion enzyme"
"200","Q12931","Heat shock protein 75 kDa, mitochondrial","TRAP1",5.35822127659435,3,0.00082923117,4.84634441932503,1213,"PC00028","PC00028","Hsp90 family chaperone","PC00072","chaperone"
"201","Q15582","Transforming growth factor-beta-induced protein ig-h3","TGFBI",5.35373006357264,3,0.00045477896,4.03209742894874,1391,"PC00069","PC00069","cell adhesion molecule","PC00069","cell adhesion molecule"
"202","P29966","Myristoylated alanine-rich C-kinase substrate","MARCKS",5.34791442094158,3,0.0015530882,5.81230586203446,649,NA,NA,"Unclassified",NA,"Unclassified"
"203","P08670","Vimentin","VIM",5.30949300789391,3,0.00016461227,2.87977309670038,404,"PC00129","PC00129","intermediate filament","PC00085","cytoskeletal protein"
"204","Q9H4G4","Golgi-associated plant pathogenesis-related protein 1","GLIPR2",5.2111669911076,3,0.00034254306,3.35399878606054,2071,"PC00090","PC00090","defense/immunity protein","PC00090","defense/immunity protein"
"205","P12814","Alpha-actinin-1","ACTN1",5.1968500374999,3,0.00064533262,4.0184349687524,474,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"206","P40939","Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase","HADHA",5.16560533898162,3,0.00071895513,4.06232929421066,764,NA,NA,"Unclassified",NA,"Unclassified"
"207","Q05682","Caldesmon","CALD1",5.16078559956464,3,0.0014892333,5.04113386556178,1159,"PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"208","P11177","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial","PDHB",5.13867177815162,3,0.001119982,4.55636335995472,453,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"209","P50991","T-complex protein 1 subunit delta","CCT4",5.11776979062849,3,0.0015240612,4.92721444414724,869,"PC00073","PC00073","chaperonin","PC00072","chaperone"
"210","Q14257","Reticulocalbin-2","RCN2",5.10302918769392,3,0.00030812307,3.01415460591698,1305,"PC00061","PC00061","calmodulin-related","PC00060","calcium-binding protein"
"211","Q9H0U3","Magnesium transporter protein 1","MAGT1",5.10237427124981,3,0.0006934331,3.84605363351389,2927,"PC00111","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"212","P01111","GTPase NRas;GTPase KRas;GTPase KRas, N-terminally processed;GTPase HRas;GTPase HRas, N-terminally processed","NRAS",5.09326302951055,3,0.003093069,5.9945548107926,2634,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"213","P52943","Cysteine-rich protein 2","CRIP2",5.0789422580741,3,0.0014098488,4.68521353621939,906,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"214","Q96HC4","PDZ and LIM domain protein 5","PDLIM5",5.07890735767795,3,0.0006281872,3.67309544562817,1866,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"215","Q6YHK3","CD109 antigen","CD109",5.07083283682356,3,0.00074851839,3.85047205616853,1552,"PC00191","PC00191","protease inhibitor","PC00095","protein-binding activity modulator"
"216","P32970","CD70 antigen","CD70",5.06518850561994,3,0.00031740408,2.96247079283577,691,NA,NA,"Unclassified",NA,"Unclassified"
"217","Q15155","Nodal modulator 1;Nodal modulator 3;Nodal modulator 2","NOMO1;NOMO3;NOMO2",5.05051873699839,3,0.00084197021,3.93350528079152,2784,NA,NA,"Unclassified",NA,"Unclassified"
"218","P00533","Epidermal growth factor receptor","EGFR",5.0502737988585,3,0.0019464465,5.06132916991309,313,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"219","P62987","Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin","RPS27A;UBA52;UBB;UBC",5.04344120876507,3,0.00090202241,3.99628249545825,2737,NA,NA,"Unclassified",NA,"Unclassified"
"220","P13010","X-ray repair cross-complementing protein 5","XRCC5",5.03257840993236,3,0.0014960152,4.61878843964656,476,"PC00011","PC00011","DNA helicase","PC00009","DNA metabolism protein"
"221","O75367","Core histone macro-H2A.1","H2AFY",5.00564715773668,3,0.002175407,5.07422602639968,204,"PC00077","PC00077","chromatin/chromatin-binding, or -regulatory protein","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"222","P20339","Ras-related protein Rab-5A","RAB5A",5.00384127836626,3,0.00076511054,3.7001031521378,564,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"223","Q7KZF4","Staphylococcal nuclease domain-containing protein 1","SND1",4.98925615022521,3,0.0009624532,3.92484519709598,1567,NA,NA,"Unclassified",NA,"Unclassified"
"224","A0FGR8","Extended synaptotagmin-2","ESYT2",4.98106495818222,3,0.00063803163,3.44835234141379,2566,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"225","P55060","Exportin-2","CSE1L",4.97421207637236,3,0.0055076447,6.56674266047919,930,"PC00227","PC00227","transporter","PC00227","transporter"
"226","Q02790","Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed","FKBP4",4.96343462988853,3,0.00054370932,3.24631152422741,1138,"PC00072","PC00072","chaperone","PC00072","chaperone"
"227","P83731","60S ribosomal protein L24","RPL24",4.9577872458147,3,0.00011094844,2.00403601912656,1095,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"228","P18206","Vinculin","VCL",4.95736164872857,3,0.00095432968,3.82924526457823,544,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"229","P55072","Transitional endoplasmic reticulum ATPase","VCP",4.94992578001047,3,0.0025812841,5.13997623448688,931,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"230","Q96AC1","Fermitin family homolog 2","FERMT2",4.94677341339278,3,0.0017879686,4.59203386166619,1825,NA,NA,"Unclassified",NA,"Unclassified"
"231","P61604","10 kDa heat shock protein, mitochondrial","HSPE1",4.93762057541927,3,0.0040193726,5.82306506270217,990,"PC00073","PC00073","chaperonin","PC00072","chaperone"
"232","P42704","Leucine-rich PPR motif-containing protein, mitochondrial","LRPPRC",4.93170979175003,3,0.00075039797,3.49914240105653,780,NA,NA,"Unclassified",NA,"Unclassified"
"233","P12235","ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed;ADP/ATP translocase 1","SLC25A5;SLC25A4",4.90179098313135,3,0.023356916,9.64784318502442,352,"PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"234","P41091","Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein","EIF2S3;EIF2S3L",4.87265104785983,3,0.0019095314,4.44929807196881,765,"PC00223","PC00223","translation factor","PC00263","translational protein"
"235","Q9NZN4","EH domain-containing protein 2","EHD2",4.85873649301093,3,0.0020297107,4.48830455920061,2214,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"236","P20340","Ras-related protein Rab-6A;Ras-related protein Rab-6B","RAB6A",4.85597413906473,3,0.0094741611,7.12314788655549,2676,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"237","P55290","Cadherin-13","CDH13",4.85032038193642,3,0.0006976251,3.23539664192495,937,"PC00057","PC00057","cadherin","PC00069","cell adhesion molecule"
"238","Q9NVI7","ATPase family AAA domain-containing protein 3A","ATAD3A",4.80835160363814,3,0.00061497715,3.02557740452155,2176,NA,NA,"Unclassified",NA,"Unclassified"
"239","P42892","Endothelin-converting enzyme 1","ECE1",4.79755239996893,3,0.0015724263,3.98373807769068,784,"PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"240","P19440","Gamma-glutamyltranspeptidase 1;Gamma-glutamyltranspeptidase 1 heavy chain;Gamma-glutamyltranspeptidase 1 light chain;Putative gamma-glutamyltranspeptidase 3;Putative gamma-glutamyltranspeptidase 3 heavy chain;Putative gamma-glutamyltranspeptidase 3 light chain;Inactive gamma-glutamyltranspeptidase 2","GGT1;GGT3P;GGT2",4.79543392208311,3,0.0082098339,6.54216533175581,2675,"PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"241","Q14160","Protein scribble homolog","SCRIB",4.78763095076425,3,0.0008120588,3.2427511926578,1296,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"242","P31153","S-adenosylmethionine synthase isoform type-2","MAT2A",4.78376545984621,3,0.0011474948,3.58883664123156,673,"PC00174","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"243","Q9Y5M8","Signal recognition particle receptor subunit beta","SRPRB",4.78126034652191,3,0.0014593115,3.85146800023474,2407,"PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"244","P48960","CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta","CD97",4.75885566005202,3,0.0022769554,4.33553581044053,830,"PC00021","PC00021","G-protein coupled receptor","PC00197","transmembrane signal receptor"
"245","P61289","Proteasome activator complex subunit 3","PSME3",4.74348813879538,3,0.00053524686,2.77414298530254,983,NA,NA,"Unclassified",NA,"Unclassified"
"246","Q14980","Nuclear mitotic apparatus protein 1","NUMA1",4.74001227769135,3,0.0017508424,3.95385320730432,1343,"PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"247","P61586","Transforming protein RhoA","RHOA",4.73187847031143,3,0.005072739,5.41559969874498,989,"PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"248","Q15599","Na(+)/H(+) exchange regulatory cofactor NHE-RF2","SLC9A3R2",4.69592432996035,3,0.0068658544,5.78621050025718,2789,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"249","P13674","Prolyl 4-hydroxylase subunit alpha-1","P4HA1",4.66061503148024,3,0.001246601,3.3784054396603,482,"PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"250","Q9Y4L1","Hypoxia up-regulated protein 1","HYOU1",4.62514716185244,3,0.0022272747,3.92562115786253,2393,"PC00027","PC00027","Hsp70 family chaperone","PC00072","chaperone"
"251","P60709","Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed","ACTB",4.59148258437723,3,0.0022227718,3.83274379876016,960,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"252","Q5VTE0","Putative elongation factor 1-alpha-like 3;Elongation factor 1-alpha 1","EEF1A1P5;EEF1A1",4.5874031692342,3,0.00062623265,2.61016124406734,2741,"PC00223","PC00223","translation factor","PC00263","translational protein"
"253","P11233","Ras-related protein Ral-A","RALA",4.58681733141001,3,0.0030684201,4.20974312674786,454,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"254","P61011","Signal recognition particle 54 kDa protein","SRP54",4.57730260944108,3,0.0045963838,4.72305006765495,967,"PC00031","PC00031","RNA metabolism protein","PC00031","RNA metabolism protein"
"255","P07947","Tyrosine-protein kinase Yes;Tyrosine-protein kinase Fyn","YES1;FYN",4.57713509939368,3,0.006082945,5.13814991223796,2651,"PC00168","PC00168","non-receptor tyrosine protein kinase","PC00260","protein modifying enzyme"
"256","Q9NR31;Q9Y6B6","GTP-binding protein SAR1a;GTP-binding protein SAR1b","SAR1A;SAR1B",4.57159536419317,3,0.018655436,7.17212545000238,2547,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"257","P61981","14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed","YWHAG",4.56482059231482,3,0.0033304507,4.24958951276196,1002,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"258","O60763","General vesicular transport factor p115","USO1",4.5506573971009,3,0.001065574,2.9860555330612,180,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"259","P63092","Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas","GNAS",4.53405579445559,3,0.0047069802,4.61649575883375,1057,"PC00095","PC00095","protein-binding activity modulator","PC00095","protein-binding activity modulator"
"260","P12956","X-ray repair cross-complementing protein 6","XRCC6",4.5182976512277,3,0.0032642195,4.08993255611893,475,"PC00011","PC00011","DNA helicase","PC00009","DNA metabolism protein"
"261","O43169","Cytochrome b5 type B","CYB5B",4.51694899012827,3,0.0021568004,3.60689854305335,118,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"262","Q6EMK4","Vasorin","VASN",4.50898895748835,3,0.0016991174,3.33852854313294,1511,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"263","P10909","Clusterin;Clusterin beta chain;Clusterin alpha chain","CLU",4.50645146090094,3,0.0013921185,3.13861428450041,445,NA,NA,"Unclassified",NA,"Unclassified"
"264","Q99714","3-hydroxyacyl-CoA dehydrogenase type-2","HSD17B10",4.50570352834973,3,0.0045880917,4.49193044736282,1938,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"265","O14745","Na(+)/H(+) exchange regulatory cofactor NHE-RF1","SLC9A3R1",4.49779884241532,3,0.0018117704,3.37737406288876,66,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"266","Q9UPY5","Cystine/glutamate transporter","SLC7A11",4.48934427248153,3,0.0050258744,4.56481364147537,2561,"PC00227","PC00227","transporter","PC00227","transporter"
"267","Q13425","Beta-2-syntrophin","SNTB2",4.47610446635549,3,0.001820656,3.3318706304793,1255,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"268","P46940","Ras GTPase-activating-like protein IQGAP1","IQGAP1",4.47159887224266,3,0.0081889927,5.222821115301,811,"PC00022","PC00022","G-protein modulator","PC00095","protein-binding activity modulator"
"269","P61803","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","DAD1",4.46447654439987,3,0.0017577522,3.27032548543953,2496,"PC00111","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"270","Q14204","Cytoplasmic dynein 1 heavy chain 1","DYNC1H1",4.45729393863383,3,0.0047642873,4.39325964449668,1300,"PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"271","P00505","Aspartate aminotransferase, mitochondrial","GOT2",4.448698547202,3,0.0012471464,2.9172641225142,312,"PC00216","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"272","P63000","Ras-related C3 botulinum toxin substrate 1","RAC1",4.44441694835018,3,0.0025697777,3.6157943016641,1054,"PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"273","Q16891","MICOS complex subunit MIC60","IMMT",4.43591030586354,3,0.0026159277,3.61384836176947,1436,NA,NA,"Unclassified",NA,"Unclassified"
"274","Q96AY3","Peptidyl-prolyl cis-trans isomerase FKBP10","FKBP10",4.41837380625226,3,0.0057551069,4.52659804287376,1831,NA,NA,"Unclassified",NA,"Unclassified"
"275","Q9BUF5","Tubulin beta-6 chain","TUBB6",4.41535273493318,3,0.0060069822,4.57575237181987,1984,"PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"276","P02545","Prelamin-A/C;Lamin-A/C","LMNA",4.39274931938181,3,0.0026493976,3.52078351265854,322,NA,NA,"Unclassified",NA,"Unclassified"
"277","Q96S52","GPI transamidase component PIG-S","PIGS",4.37335771198558,3,0.00087543856,2.48902963351314,1908,NA,NA,"Unclassified",NA,"Unclassified"
"278","Q96TA1","Niban-like protein 1","FAM129B",4.36879430831809,3,0.011420135,5.3757483973378,1916,NA,NA,"Unclassified",NA,"Unclassified"
"279","O15460","Prolyl 4-hydroxylase subunit alpha-2","P4HA2",4.35148222151831,3,0.0014846605,2.87409849697533,112,"PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"280","Q86W92","Liprin-beta-1","PPFIBP1",4.3435811974858,3,0.0029281597,3.50685041477182,1617,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"281","Q15942","Zyxin","ZYX",4.3290676543128,3,0.0038665845,3.77478672496458,1409,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"282","O60664","Perilipin-3","PLIN3",4.30821534499742,3,0.0027843635,3.37045026167554,174,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
