"so_SHORTNAME","so_NAME","so_PID","so_ratioWave","so_allTWave","Entry","Entry.Name","Protein.names","Gene.Names","Transmembrane","Length","Function..CC.","Subcellular.location..CC.","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","tms"
"SLC7A5","Large neutral amino acids transporter small subunit 1","Q01650",1.68795675385486,0.48081118,"Q01650","LAT1_HUMAN","Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter)","SLC7A5 CD98LC LAT1 MPE16","TRANSMEM 50..70; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 84..104; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 127..147; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 170..190; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 193..214; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 243..263; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 277..297; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 325..345; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 370..390; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 396..416; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 431..451; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""; TRANSMEM 458..478; /note=""Helical""; /evidence=""ECO:0000269|PubMed:30867591""",507,"FUNCTION: The heterodimer with SLC3A2 functions as sodium-independent, high-affinity transporter that mediates uptake of large neutral amino acids such as phenylalanine, tyrosine, leucine, histidine, methionine, tryptophan, valine, isoleucine and alanine (PubMed:9751058, PubMed:10049700, PubMed:11557028, PubMed:10574970, PubMed:11564694, PubMed:12117417, PubMed:12225859, PubMed:25998567, PubMed:30867591, PubMed:18262359, PubMed:15769744). The heterodimer with SLC3A2 mediates the uptake of L-DOPA (By similarity). Functions as an amino acid exchanger (PubMed:11557028, PubMed:12117417, PubMed:12225859, PubMed:30867591). May play a role in the transport of L-DOPA across the blood-brain barrier (By similarity). May act as the major transporter of tyrosine in fibroblasts (Probable). May mediate blood-to-retina L-leucine transport across the inner blood-retinal barrier (By similarity).Can mediate the transport of thyroid hormones diiodothyronine (T2), triiodothyronine (T3) and thyroxine (T4) across the cell membrane (PubMed:11564694). When associated with LAPTM4B, the heterodimer formed by SLC3A2 and SLC7A5 is recruited to lysosomes to promote leucine uptake into these organelles, and thereby mediates mTORC1 activation (PubMed:25998567). Involved in the uptake of toxic methylmercury (MeHg) when administered as the L-cysteine or D,L-homocysteine complexes (PubMed:12117417). Involved in the cellular activity of small molecular weight nitrosothiols, via the stereoselective transport of L-nitrosocysteine (L-CNSO) across the membrane (PubMed:15769744). {ECO:0000250|UniProtKB:Q63016, ECO:0000250|UniProtKB:Q9Z127, ECO:0000269|PubMed:10049700, ECO:0000269|PubMed:10574970, ECO:0000269|PubMed:11557028, ECO:0000269|PubMed:11564694, ECO:0000269|PubMed:12117417, ECO:0000269|PubMed:12225859, ECO:0000269|PubMed:15769744, ECO:0000269|PubMed:18262359, ECO:0000269|PubMed:25998567, ECO:0000269|PubMed:30867591, ECO:0000269|PubMed:9751058, ECO:0000305|PubMed:18262359}.; FUNCTION: (Microbial infection) In case of hepatitis C virus/HCV infection, the complex formed by SLC3A2 and SLC7A5/LAT1 plays a role in HCV propagation by facilitating viral entry into host cell and increasing L-leucine uptake-mediated mTORC1 signaling activation, thereby contributing to HCV-mediated pathogenesis. {ECO:0000269|PubMed:30341327}.","SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:11742812}; Multi-pass membrane protein {ECO:0000269|PubMed:30867591}. Cell membrane {ECO:0000269|PubMed:11557028, ECO:0000269|PubMed:12225859, ECO:0000269|PubMed:25998567, ECO:0000269|PubMed:9751058}; Multi-pass membrane protein {ECO:0000269|PubMed:30867591}. Lysosome membrane {ECO:0000269|PubMed:25998567}; Multi-pass membrane protein {ECO:0000305|PubMed:25998567}. Note=Located to the plasma membrane by SLC3A2/4F2hc (PubMed:9751058). Localized to the apical membrane of placental syncytiotrophoblastic cells (PubMed:11742812). Recruited to lysosomes by LAPTM4B (PubMed:25998567). {ECO:0000269|PubMed:11742812, ECO:0000269|PubMed:25998567, ECO:0000269|PubMed:9751058}.","alanine transport [GO:0032328]; amino acid import across plasma membrane [GO:0089718]; amino acid transmembrane transport [GO:0003333]; cellular response to glucose starvation [GO:0042149]; cellular response to L-arginine [GO:1903577]; cellular response to lipopolysaccharide [GO:0071222]; isoleucine transport [GO:0015818]; L-histidine transport [GO:1902024]; L-leucine import across plasma membrane [GO:1903801]; L-tryptophan transmembrane transport [GO:1904556]; leucine import across plasma membrane [GO:0098713]; leucine transport [GO:0015820]; liver regeneration [GO:0097421]; methionine transport [GO:0015821]; negative regulation of autophagy [GO:0010507]; negative regulation of gene expression [GO:0010629]; negative regulation of vascular associated smooth muscle cell apoptotic process [GO:1905460]; neutral amino acid transport [GO:0015804]; phenylalanine transport [GO:0015823]; positive regulation of cytokine production involved in immune response [GO:0002720]; positive regulation of glial cell proliferation [GO:0060252]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of leucine import across plasma membrane [GO:1905534]; positive regulation of type II interferon production [GO:0032729]; proline transport [GO:0015824]; response to hyperoxia [GO:0055093]; response to muscle activity [GO:0014850]; thyroid hormone transport [GO:0070327]; transport across blood-brain barrier [GO:0150104]; tryptophan transport [GO:0015827]; tyrosine transport [GO:0015828]; valine transport [GO:0015829]; xenobiotic transport [GO:0042908]","amino acid transport complex [GO:1990184]; apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; cytosol [GO:0005829]; external side of apical plasma membrane [GO:0098591]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; microvillus membrane [GO:0031528]; plasma membrane [GO:0005886]",12
"SLC9A3R1","Na(+)/H(+) exchange regulatory cofactor NHE-RF1","O14745",3.37737406288876,0.0018117704,"O14745","NHRF1_HUMAN","Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)","NHERF1 NHERF SLC9A3R1","",358,"FUNCTION: Scaffold protein that connects plasma membrane proteins with members of the ezrin/moesin/radixin family and thereby helps to link them to the actin cytoskeleton and to regulate their surface expression. Necessary for recycling of internalized ADRB2. Was first known to play a role in the regulation of the activity and subcellular location of SLC9A3. Necessary for cAMP-mediated phosphorylation and inhibition of SLC9A3. May enhance Wnt signaling. May participate in HTR4 targeting to microvilli (By similarity). Involved in the regulation of phosphate reabsorption in the renal proximal tubules. Involved in sperm capacitation. May participate in the regulation of the chloride and bicarbonate homeostasis in spermatozoa. {ECO:0000250, ECO:0000269|PubMed:10499588, ECO:0000269|PubMed:18784102, ECO:0000269|PubMed:9096337, ECO:0000269|PubMed:9430655}.","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Apical cell membrane {ECO:0000250}. Endomembrane system; Peripheral membrane protein. Cell projection, filopodium. Cell projection, ruffle. Cell projection, microvillus. Note=Translocates from the cytoplasm to the apical cell membrane in a PODXL-dependent manner. Colocalizes with CFTR at the midpiece of sperm tail (By similarity). Colocalizes with actin in microvilli-rich apical regions of the syncytiotrophoblast. Found in microvilli, ruffling membrane and filopodia of HeLa cells. Present in lipid rafts of T-cells. {ECO:0000250}.","actin cytoskeleton organization [GO:0030036]; adenylate cyclase-activating dopamine receptor signaling pathway [GO:0007191]; auditory receptor cell stereocilium organization [GO:0060088]; bile acid secretion [GO:0032782]; cerebrospinal fluid circulation [GO:0090660]; cilium organization [GO:0044782]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of Golgi localization [GO:0051683]; fibroblast migration [GO:0010761]; gamma-aminobutyric acid import [GO:0051939]; gland morphogenesis [GO:0022612]; glutathione transport [GO:0034635]; import across plasma membrane [GO:0098739]; intracellular phosphate ion homeostasis [GO:0030643]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; microvillus assembly [GO:0030033]; morphogenesis of an epithelium [GO:0002009]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of fibroblast migration [GO:0010764]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of sodium:proton antiporter activity [GO:0032416]; nuclear migration [GO:0007097]; phospholipase C-activating dopamine receptor signaling pathway [GO:0060158]; plasma membrane organization [GO:0007009]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of monoatomic ion transmembrane transport [GO:0034767]; protein localization to plasma membrane [GO:0072659]; protein-containing complex assembly [GO:0065003]; regulation of cell shape [GO:0008360]; regulation of cell size [GO:0008361]; regulation of protein kinase activity [GO:0045859]; regulation of renal phosphate excretion [GO:1903402]; renal absorption [GO:0070293]; renal phosphate ion absorption [GO:0097291]; renal sodium ion transport [GO:0003096]; sensory perception of sound [GO:0007605]; transport across blood-brain barrier [GO:0150104]; Wnt signaling pathway [GO:0016055]","actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cell periphery [GO:0071944]; cytoplasm [GO:0005737]; endomembrane system [GO:0012505]; extracellular exosome [GO:0070062]; filopodium [GO:0030175]; membrane [GO:0016020]; microvillus [GO:0005902]; microvillus membrane [GO:0031528]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane protein complex [GO:0098797]; ruffle [GO:0001726]; sperm midpiece [GO:0097225]; stereocilium tip [GO:0032426]; vesicle [GO:0031982]",0
"SLC9A3R2","Na(+)/H(+) exchange regulatory cofactor NHE-RF2","Q15599",5.78621050025718,0.0068658544,"Q15599","NHRF2_HUMAN","Na(+)/H(+) exchange regulatory cofactor NHE-RF2 (NHERF-2) (NHE3 kinase A regulatory protein E3KARP) (SRY-interacting protein 1) (SIP-1) (Sodium-hydrogen exchanger regulatory factor 2) (Solute carrier family 9 isoform A3 regulatory factor 2) (Tyrosine kinase activator protein 1) (TKA-1)","NHERF2 SLC9A3R2","",337,"FUNCTION: Scaffold protein that connects plasma membrane proteins with members of the ezrin/moesin/radixin family and thereby helps to link them to the actin cytoskeleton and to regulate their surface expression. Necessary for cAMP-mediated phosphorylation and inhibition of SLC9A3 (PubMed:18829453). May also act as scaffold protein in the nucleus. {ECO:0000269|PubMed:10455146, ECO:0000269|PubMed:18829453, ECO:0000269|PubMed:9096337}.","SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:9054412}; Peripheral membrane protein {ECO:0000269|PubMed:9054412}. Nucleus {ECO:0000269|PubMed:9054412}. Apical cell membrane {ECO:0000250}. Note=Localizes with EZR and PODXL at the apical cell membrane of glomerular epithelium cells and the sides of the food processes (By similarity). Nuclear, in a punctate pattern. {ECO:0000250}.","protein localization to plasma membrane [GO:0072659]; protein-containing complex assembly [GO:0065003]","apical plasma membrane [GO:0016324]; endomembrane system [GO:0012505]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886]",0
"SMC1A","Structural maintenance of chromosomes protein 1A","Q14683",1.84686194767068,0.061687063,"Q14683","SMC1A_HUMAN","Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8)","SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1","",1233,"FUNCTION: Involved in chromosome cohesion during cell cycle and in DNA repair. Central component of cohesin complex. The cohesin complex is required for the cohesion of sister chromatids after DNA replication. The cohesin complex apparently forms a large proteinaceous ring within which sister chromatids can be trapped. At anaphase, the complex is cleaved and dissociates from chromatin, allowing sister chromatids to segregate. The cohesin complex may also play a role in spindle pole assembly during mitosis. Involved in DNA repair via its interaction with BRCA1 and its related phosphorylation by ATM, or via its phosphorylation by ATR. Works as a downstream effector both in the ATM/NBS1 branch and in the ATR/MSH2 branch of S-phase checkpoint. {ECO:0000269|PubMed:11877377}.","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12199140}. Chromosome {ECO:0000269|PubMed:12199140}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:12199140}. Note=Associates with chromatin. Before prophase it is scattered along chromosome arms. During prophase, most of cohesin complexes dissociate from chromatin probably because of phosphorylation by PLK, except at centromeres, where cohesin complexes remain. At anaphase, the RAD21 subunit of the cohesin complex is cleaved, leading to the dissociation of the complex from chromosomes, allowing chromosome separation. In germ cells, cohesin complex dissociates from chromatin at prophase I, and may be replaced by a meiosis-specific cohesin complex. The phosphorylated form on Ser-957 and Ser-966 associates with chromatin during G1/S/G2 phases but not during M phase, suggesting that phosphorylation does not regulate cohesin function. Integral component of the functional centromere-kinetochore complex at the kinetochore region during mitosis.","cell division [GO:0051301]; DNA repair [GO:0006281]; establishment of meiotic sister chromatid cohesion [GO:0034089]; establishment of mitotic sister chromatid cohesion [GO:0034087]; meiotic cell cycle [GO:0051321]; mitotic sister chromatid cohesion [GO:0007064]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly [GO:0090307]; response to DNA damage checkpoint signaling [GO:0072423]; response to radiation [GO:0009314]; sister chromatid cohesion [GO:0007062]; somatic stem cell population maintenance [GO:0035019]","chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; kinetochore [GO:0000776]; meiotic cohesin complex [GO:0030893]; mitotic spindle pole [GO:0097431]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]",0
"SNAP23","Synaptosomal-associated protein 23","O00161",0.727283789794892,0.15578613,"O00161","SNP23_HUMAN","Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)","SNAP23","",211,"FUNCTION: Essential component of the high affinity receptor for the general membrane fusion machinery and an important regulator of transport vesicle docking and fusion.","SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein. Cell membrane; Lipid-anchor. Synapse, synaptosome. Note=Mainly localized to the plasma membrane.","exocytosis [GO:0006887]; histamine secretion by mast cell [GO:0002553]; membrane fusion [GO:0061025]; post-Golgi vesicle-mediated transport [GO:0006892]; protein transport [GO:0015031]; synaptic vesicle fusion to presynaptic active zone membrane [GO:0031629]; synaptic vesicle priming [GO:0016082]; vesicle targeting [GO:0006903]","adherens junction [GO:0005912]; azurophil granule [GO:0042582]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; SNARE complex [GO:0031201]; specific granule [GO:0042581]; specific granule membrane [GO:0035579]; synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex [GO:0070032]; tertiary granule membrane [GO:0070821]",0
"SND1","Staphylococcal nuclease domain-containing protein 1","Q7KZF4",0.551343807270007,0.038301561,"Q7KZF4","SND1_HUMAN","Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)","SND1 TDRD11","",910,"FUNCTION: Endonuclease that mediates miRNA decay of both protein-free and AGO2-loaded miRNAs (PubMed:28546213, PubMed:18453631). As part of its function in miRNA decay, regulates mRNAs involved in G1-to-S phase transition (PubMed:28546213). Functions as a bridging factor between STAT6 and the basal transcription factor (PubMed:12234934). Plays a role in PIM1 regulation of MYB activity (PubMed:9809063). Functions as a transcriptional coactivator for STAT5 (By similarity). {ECO:0000250|UniProtKB:Q78PY7, ECO:0000269|PubMed:12234934, ECO:0000269|PubMed:18453631, ECO:0000269|PubMed:28546213, ECO:0000269|PubMed:9809063}.; FUNCTION: (Microbial infection) Functions as a transcriptional coactivator for the Epstein-Barr virus nuclear antigen 2 (EBNA2). {ECO:0000269|PubMed:7651391}.","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14508492, ECO:0000269|PubMed:17081065}. Nucleus {ECO:0000269|PubMed:12234934, ECO:0000269|PubMed:14508492, ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:7651391}. Melanosome {ECO:0000269|PubMed:17081065}. Note=In IL-4 stimulated cells colocalizes with STAT6 in the nucleus (PubMed:12234934). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). {ECO:0000269|PubMed:12234934, ECO:0000269|PubMed:17081065}.","miRNA catabolic process [GO:0010587]; mRNA catabolic process [GO:0006402]; osteoblast differentiation [GO:0001649]; regulation of cell cycle process [GO:0010564]; RNA-mediated gene silencing [GO:0031047]","cytosol [GO:0005829]; dense body [GO:0097433]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; membrane [GO:0016020]; nucleus [GO:0005634]; RISC complex [GO:0016442]",0
"SNTB2","Beta-2-syntrophin","Q13425",3.3318706304793,0.001820656,"Q13425","SNTB2_HUMAN","Beta-2-syntrophin (59 kDa dystrophin-associated protein A1 basic component 2) (Syntrophin-3) (SNT3) (Syntrophin-like) (SNTL)","SNTB2 D16S2531E SNT2B2 SNTL","",540,"FUNCTION: Adapter protein that binds to and probably organizes the subcellular localization of a variety of membrane proteins. May link various receptors to the actin cytoskeleton and the dystrophin glycoprotein complex. May play a role in the regulation of secretory granules via its interaction with PTPRN.","SUBCELLULAR LOCATION: Membrane. Cytoplasmic vesicle, secretory vesicle membrane; Peripheral membrane protein. Cell junction {ECO:0000250}. Cytoplasm, cytoskeleton. Note=Membrane-associated. In muscle, it is exclusively localized at the neuromuscular junction (By similarity). In insulinoma cell line, it is enriched in secretory granules. {ECO:0000250}.","","cytoplasm [GO:0005737]; dystrophin-associated glycoprotein complex [GO:0016010]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; microtubule [GO:0005874]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; synapse [GO:0045202]; transport vesicle membrane [GO:0030658]",0
"SPCS2","Signal peptidase complex subunit 2","Q15005",0.378543211038831,0.26705784,"Q15005","SPCS2_HUMAN","Signal peptidase complex subunit 2 (Microsomal signal peptidase 25 kDa subunit) (SPase 25 kDa subunit)","SPCS2 KIAA0102 SPC25","TRANSMEM 87..107; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 112..132; /note=""Helical""; /evidence=""ECO:0000255""",226,"FUNCTION: Component of the signal peptidase complex (SPC) which catalyzes the cleavage of N-terminal signal sequences from nascent proteins as they are translocated into the lumen of the endoplasmic reticulum (PubMed:34388369). Enhances the enzymatic activity of SPC and facilitates the interactions between different components of the translocation site (By similarity). {ECO:0000250|UniProtKB:Q04969, ECO:0000269|PubMed:34388369}.","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q28250}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q28250}.","protein targeting to ER [GO:0045047]; signal peptide processing [GO:0006465]","endoplasmic reticulum membrane [GO:0005789]; signal peptidase complex [GO:0005787]",2
"SPNS1","Protein spinster homolog 1","Q9H2V7",1.20844696001855,0.37808946,"Q9H2V7","SPNS1_HUMAN","Protein spinster homolog 1 (HSpin1) (Spinster-like protein 1) (Spns1)","SPNS1 SPIN1 PP20300","TRANSMEM 50..70; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 98..118; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 127..147; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 160..180; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 187..207; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 218..238; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 278..298; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 323..343; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 357..377; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 381..401; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 421..441; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 465..485; /note=""Helical""; /evidence=""ECO:0000255""",528,"FUNCTION: Plays a critical role in the phospholipid salvage pathway from lysosomes to the cytosol (PubMed:36161949). Mediates the rate-limiting, proton-dependent, lysosomal efflux of lysophospholipids, which can then be reacylated by acyltransferases in the endoplasmic reticulum to form phospholipids (PubMed:36161949). Selective for zwitterionic headgroups such as lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), can also transport lysophosphatidylglycerol (LPG), but not other anionic lysophospholipids, sphingosine, nor sphingomyelin (PubMed:36161949). Transports lysophospholipids with saturated, monounsaturated, and polyunsaturated fatty acids, such as 1-hexadecanoyl-sn-glycero-3-phosphocholine, 1-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine and 1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine, respectively (PubMed:36161949). Can also transport lysoplasmalogen (LPC with a fatty alcohol) such as 1-(1Z-hexadecenyl)-sn-glycero-3-phosphocholine (PubMed:36161949). Essential player in lysosomal homeostasis (PubMed:36161949). May be involved in necrotic or autophagic cell death (PubMed:12815463). {ECO:0000269|PubMed:12815463, ECO:0000269|PubMed:36161949}.","SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:12408844}; Multi-pass membrane protein {ECO:0000269|PubMed:12408844}. Mitochondrion inner membrane {ECO:0000269|PubMed:12815463}; Multi-pass membrane protein {ECO:0000269|PubMed:12815463}. Note=Ocassionally localizes to mitochondria. {ECO:0000269|PubMed:12815463}.","lysophospholipid transport [GO:0051977]; phospholipid efflux [GO:0033700]; regulation of lysosomal lumen pH [GO:0035751]","lysosomal membrane [GO:0005765]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]",12
"SPTAN1","Spectrin alpha chain, non-erythrocytic 1","Q13813",1.228957765444,0.7316916,"Q13813","SPTN1_HUMAN","Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)","SPTAN1 NEAS SPTA2","",2472,"FUNCTION: Fodrin, which seems to be involved in secretion, interacts with calmodulin in a calcium-dependent manner and is thus candidate for the calcium-dependent movement of the cytoskeleton at the membrane.","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cell cortex. Note=Expressed along the cell membrane in podocytes and presumptive tubule cells during glomerulogenesis and is expressed along lateral cell margins in tubule cells. {ECO:0000250}.","actin cytoskeleton organization [GO:0030036]; actin filament capping [GO:0051693]","cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular vesicle [GO:1903561]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; specific granule lumen [GO:0035580]; spectrin [GO:0008091]; tertiary granule lumen [GO:1904724]",0
"SPTBN1","Spectrin beta chain, non-erythrocytic 1","Q01082",1.03358733980683,0.96058697,"Q01082","SPTB2_HUMAN","Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)","SPTBN1 SPTB2","",2364,"FUNCTION: Fodrin, which seems to be involved in secretion, interacts with calmodulin in a calcium-dependent manner and is thus candidate for the calcium-dependent movement of the cytoskeleton at the membrane. Plays a critical role in central nervous system development and function. {ECO:0000269|PubMed:34211179}.","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q62261}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000250|UniProtKB:Q62261}. Cytoplasm, cytosol {ECO:0000269|PubMed:34211179}. Cell membrane {ECO:0000269|PubMed:34211179}. Note=Colocalizes with ANK2 in a distinct intracellular compartment of neonatal cardiomyocytes. {ECO:0000250|UniProtKB:Q62261}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.","actin cytoskeleton organization [GO:0030036]; actin filament capping [GO:0051693]; central nervous system development [GO:0007417]; central nervous system formation [GO:0021556]; common-partner SMAD protein phosphorylation [GO:0007182]; Golgi to plasma membrane protein transport [GO:0043001]; membrane assembly [GO:0071709]; mitotic cytokinesis [GO:0000281]; plasma membrane organization [GO:0007009]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein localization to plasma membrane [GO:0072659]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of SMAD protein signal transduction [GO:0060390]","axolemma [GO:0030673]; cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; cuticular plate [GO:0032437]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; M band [GO:0031430]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; spectrin [GO:0008091]; spectrin-associated cytoskeleton [GO:0014731]",0
