Gene_names	Protein_names	Uniprot_IDs	logFC_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Ratio_H_L_count_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_Mix_CTRL IgM Immunoisolation	PEP
PSMA4	Proteasome subunit alpha type-4;Proteasome subunit	P25789;B2RDG0;Q7Z474;H0YN18;H0YL69;H0YMZ1;H0YMA1;H0YMI6;H0YKT8;H0YLC2;H0YKS0;H0YLS6;H0YMV3	0.208	11	8.878	8.6	0
RPL10;RPL10L	60S ribosomal protein L10;60S ribosomal protein L1	P27635;F8W7C6;Q96L21;H7C2C5;H7C123;A6QRI9;B8A6G2	0.156	13	9.019	8.599	0
RPS14	40S ribosomal protein S14	P62263;E5RH77;H0YB22;A4D1M5	0.262	11	9.015	8.597	0
SF3A1	Splicing factor 3A subunit 1	Q15459;E9PAW1;F8WB66	0.266	26	8.729	8.594	0
RAN	GTP-binding nuclear protein Ran	B5MDF5;A8K3Z8;P62826;F5H018;B4DV51;Q0EFC9;Q96QB7;H0YFC6	-0.355	7	8.961	8.594	0
PSMD12	26S proteasome non-ATPase regulatory subunit 12	O00232	0.206	25	8.61	8.587	0
RPS27A;UBC;DKFZp434K0435;UBB	Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S	B2RDW1;P62979;Q5RKT7;Q59EM9;Q66K58;P0CG48;A8K674;F5H041;Q96H31;F5H7K6;Q96MH4;Q96C32;Q9UFQ0;P0CG47;Q5PY61;Q5U5U6;F5GXK7;F5H747;F5H388;B4DV12;F5H7Y5;Q5UGI3;F5H265;F5H2Z3;F5GYU3;F5H6Q2;Q8WYN9;Q49A90;F5H4D8;F5GZ39	-0.034	28	9.102	8.587	0
RPL32	60S ribosomal protein L32	F8W727;P62910;D3YTB1;D3YTI8	0.375	9	8.777	8.581	0
RPS13	40S ribosomal protein S13	P62277;E9PS50	0.333	12	9.013	8.576	0
KHSRP	Far upstream element-binding protein 2	Q92945;E7EP96;B4DV73	0.655	25	8.831	8.565	0
RPL30	60S ribosomal protein L30	P62888;E5RI99;E5RJH3	0.249	13	9.025	8.564	0
FARSLA;FARSA	Phenylalanine--tRNA ligase alpha subunit	Q6IBR2;Q9Y285;B4E363	0.39	19	8.727	8.558	0
RPS27	40S ribosomal protein S27	P42677;Q5T4L6;Q5T4L4	0.095	7	8.942	8.552	0
RPL9	60S ribosomal protein L9	P32969;Q53Z07;H0Y9V9;Q2NKY6;D6RAN4;E7ESE0;H0Y9R4;B4DLV8;B4E1M5	0.229	12	9.111	8.55	0
RPL9	60S ribosomal protein L9	P32969;Q53Z07;H0Y9V9;Q2NKY6;D6RAN4;E7ESE0;H0Y9R4;B4DLV8;B4E1M5	0.229	12	9.111	8.55	0
RPL9	60S ribosomal protein L9	P32969;Q53Z07;H0Y9V9;Q2NKY6;D6RAN4;E7ESE0;H0Y9R4;B4DLV8;B4E1M5	0.229	12	9.111	8.55	0
RPL9	60S ribosomal protein L9	P32969;Q53Z07;H0Y9V9;Q2NKY6;D6RAN4;E7ESE0;H0Y9R4;B4DLV8;B4E1M5	0.229	12	9.111	8.55	0
EIF5A;EIF5AL1;EIF5A2	Eukaryotic translation initiation factor 5A-1;Euka	I3L504;P63241;I3L397;Q6IS14;Q9GZV4;C9J4W5;C9J7B5;F8WCJ1	-0.38	12	8.797	8.549	0
NOP56	Nucleolar protein 56	O00567;A8K9K6;A0PJ92;H0YDU4;Q5JXT2;E9PDI8;H0Y653;Q5JXT4;Q9BSN3	0.647	16	8.587	8.533	0
RPS19	40S ribosomal protein S19	Q8WVX7;B0ZBD0;P39019	0.257	13	8.903	8.533	0
RPS23	40S ribosomal protein S23	A8K517;P62266;D6RD47;D6R9I7;D6RIX0;D6RDJ2	0.228	12	9.09	8.528	0
QARS	Glutamine--tRNA ligase	P47897;Q53HS0;B4DWJ2;A8K3A8;B4DNN3;Q96AW5;B4DDN1;Q9BUZ3;Q9H3A5;H7C0R3;C9J165;B7Z840;C9JSG9;B4DTH6;I3QNU8;F2Z2V6	0.24	23	8.741	8.527	0
EFTUD2;U5-116KD;SNRP116	116 kDa U5 small nuclear ribonucleoprotein compone	A8KAP3;Q15029;Q6IBM8;B3KX19;B4DK30;B4DZB1;Q8IXJ3;B4DMC0;B3KWY2	0.108	20	8.551	8.524	0
SF3A3	Splicing factor 3A subunit 3	A8K566;A8K7V1;B3KY12;Q12874;Q53HM6;B4DW90;E7EUT8	0.278	16	8.871	8.519	0
G3BP1;G3BP;DKFZp313K0921	Ras GTPase-activating protein-binding protein 1	Q13283;Q5U0Q1;Q6FI03;Q32P45;Q53HH4;F8W7N6;Q6ZP53;E5RIZ6;E5RJU8;Q5HYE9;E5RH42;E5RIF8;E5RI46;B7Z8K4;F5H4D6;E5RH00	0.56	16	8.614	8.518	0
RDX	Radixin	A7YIJ8;B0YJ88;P35241;B7Z2S7;F5H1A7;B7Z9U6;Q05CU6;H7BZI4;Q6PKD3;A7YIK3;H0YE16;E9PNV3;A7YIK0;E9PQ82;Q9NST9;E9PKN5	0.15	25	8.718	8.512	0
RBM14	RNA-binding protein 14	Q96PK6;Q59GV2;B4DNG4	0.378	23	8.647	8.495	0
PSMA7	Proteasome subunit alpha type-7;Proteasome subunit	O14818;Q05DH1;H0Y586;Q5JXJ1;Q8TAA3;B0YJ74;F5H3G5;F5GY34;H0UI83;Q5JXJ2;Q4G1B8	0.186	12	8.903	8.486	0
TRIM4	Tripartite motif-containing protein 4	Q9C037;B3KS62;B4DEC5;H7C0Q6	0.575	5	8.926	8.483	5.00E-05
HSPA8	Heat shock cognate 71 kDa protein	P11142;Q53GZ6;E9PKE3;B3KTV0;Q96IS6;Q53HF2;E9PNE6;B4E1Q1;E9PN89;A8K7Q2;B4DTX2;E9PLF4;E9PK54;E9PQK7;E9PQQ4;P54652;E9PI65;E9PPY6;Q96BE0;E9PS65;Q96H53;E9PN25;B3KUS2;A4D111;E9PM13;Q9NWW3;Q9NZ87	-0.025	49	9.157	8.48	0
HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	Q53F64;D6RBZ0;B4DMY3;D6RD18;D6R9P3;Q99729	0.561	10	8.773	8.478	0
KIF5B;KIF5B-ALK	Kinesin-1 heavy chain;Tyrosine-protein kinase rece	P33176;C1PHA2;D3DRX6;A8K048;B4DS27;Q66K46;Q2TA90;Q6P164;B0I1S7;B2RCP3;Q12840;B7Z2M7;O60282;A1L179;E9PET8;Q6PKD1;Q6PJC4;A5D6Y6;Q57Z91;Q59GB8;Q57YV6;Q57YV5;C9JWB9	0.55	25	8.498	8.478	0
GNB2L1	Guanine nucleotide-binding protein subunit beta-2-	E9KL35;P63244;H0Y8W2;H0YAM7;H0YAF8;D6RAC2;D6REE5;D6R9L0;D6R9Z1;D6RHH4;D6RFX4;B4DVD2;H0Y8R5;D6RFZ9;D6RBD0;D6RF23;E9PD14;B4E0C3;D6RAU2;H0Y9P0;D6RHJ5;B4DWC6;D6R909;D6RGK8	0.09	14	8.923	8.478	0
PSMB1	Proteasome subunit beta type-1;Proteasome subunit 	P20618;Q53FT8;H0Y3J2;Q59GN1	0.159	10	8.867	8.476	0
RPL17	60S ribosomal protein L17	P18621;B4E3C2	0.132	10	8.889	8.471	0
RPL23	60S ribosomal protein L23	P62829;Q9BTQ7;C9JD32;B9ZVP7;A4D142	0.174	9	8.866	8.468	0
SF3B2;DKFZp781L0540	Splicing factor 3B subunit 2	Q13435;E9PPJ0;Q7Z3K9;H0YCG1;E9PJ04;E9PJT3;H0YEX5;H0YDT7;E9PIL8	0.133	16	8.67	8.468	0
DHX15	Putative pre-mRNA-splicing factor ATP-dependent RN	O43143;F5H6K0;B4E0S6	-0.072	30	8.88	8.463	0
DDX39B;BAT1	Spliceosome RNA helicase DDX39B	F8VQ10;Q13838;Q5STU3;H0Y7G4;B0V2L1;B4DP52;F8VZL8;A2BF54;B0S4X2;B0S8C3;B0UZ18;B0UZ99;F6WLT2;H0Y7X6;B0V2L2;Q59G92;H0Y557;B0V2L3;E9PP12;A2BF53;B0S4X1;B0S8C2;B0UZ17;B0UZ98;F6UJC5;A2BF56;B0S4X4;B0S8B3;B0UZ21;B0UZA2;F6TRA5;A2BF57;B0S4X3;B0S8B2;B0UZ20;B0UZA1;F6U	0.594	25	8.977	8.46	0
EIF2S2	Eukaryotic translation initiation factor 2 subunit	B5BU01;P20042;Q6IBR8;Q96I16;Q3B7I9;Q59GZ3	0.231	21	8.793	8.46	0
RPS5	"40S ribosomal protein S5;40S ribosomal protein S5,"	P46782;Q53G25;Q59EK8	0.37	7	8.791	8.454	0
GNL3	Guanine nucleotide-binding protein-like 3	Q9BVP2;B4DMU5;C9JZT7;C9JYH9	0.151	16	8.674	8.454	0
RPS25	40S ribosomal protein S25	P62851	0.204	15	8.793	8.441	0
FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3;Peptidyl	Q00688;Q53GD8;G3V5F2	0.173	8	8.867	8.439	0
PSMB6	Proteasome subunit beta type-6;Proteasome subunit 	P28072;Q6IAT9;I3L3X7	0.119	6	8.728	8.437	0
RPL19	60S ribosomal protein L19;Ribosomal protein L19	P84098;Q53G49;Q8IWR8	0.191	6	8.676	8.436	0
GPI	Glucose-6-phosphate isomerase	B4DVJ0;P06744;B4DE36;CON__Q3ZBD7;Q8N196;Q59F85	0.221	12	8.505	8.431	0
SNRPD2	Small nuclear ribonucleoprotein Sm D2	P62316	0.091	15	8.829	8.43	0
RPL37A	60S ribosomal protein L37a	P61513;E9PEL3;Q6P4E4;C9J4Z3;G5E9R3;A6NKH3	0.306	8	8.787	8.429	0
FHL1	Four and a half LIM domains protein 1	F5GWR5;Q53FI7;B7Z5V0;B7Z4B7;B7Z9A1;B7Z6U8;B7Z5T3;Q5JXI8;Q13642;Q5JXI2;Q5JXI3;Q5JXH7;Q5JXH8;B3KRI9;Q5JXH9;Q5JXI0	0.201	14	8.835	8.429	0
SFRS3;SRSF3	Serine/arginine-rich splicing factor 3	B2R6F3;P84103;B4E241	0.312	6	8.761	8.427	0
RPL36	60S ribosomal protein L36	Q9Y3U8	0.181	7	8.615	8.425	0
RAB1A	Ras-related protein Rab-1A	P62820;Q5U0I6;B7Z8M7;E7END7;E7ETK2;Q96RD8;Q9H1C9;E7EWA5;Q92927	0.504	20	9.512	8.419	0
RPS20	40S ribosomal protein S20	P60866;E5RJX2;G3XAN0;E5RIP1	0.377	9	8.855	8.416	0
EIF2S1	Eukaryotic translation initiation factor 2 subunit	P05198;Q53XC0;G3V4T5;H0YJS4;B4DM12	0.222	13	8.711	8.415	0
HIST1H4L;HIST1H4A;HIST1H4H	Histone H4	B2R4R0;P62805;Q0VAS5;Q6B823	-0.016	13	8.699	8.408	0
LDHA	L-lactate dehydrogenase A chain;L-lactate dehydrog	P00338;B4DJI1;E9PH51;F5H308;F5GXY2;F5GYU2;F5GXH2;F5H6W8;F5H5J4;Q6ZMR3;Q96L19;F5GZQ4;D6NKH9;G9BCY7;G9BCY8;P07864;F5H245;G3XAP5;F5H155;F5H5G7;F5GXU1;F5GWW2;F5GXC7;F5H8H6	-0.281	11	8.846	8.406	0
PSMB7	Proteasome subunit beta type;Proteasome subunit be	E9KL30;Q6IBT1;Q86U62;Q99436;B2RAQ9;Q5TBG5;B4E0P1	0.157	5	8.627	8.405	0
RPS26;RP11-151A6.3-001;RPS26P11	40S ribosomal protein S26;Putative 40S ribosomal p	P62854;Q5JVH5;F8VZW7;Q5JNZ5;Q75MH1;Q76N56;Q76N57	0.174	6	8.696	8.402	0
PSMC4	26S protease regulatory subunit 6B	A8K2M0;P43686	0.417	19	8.532	8.398	0
		Q59EC0;B7Z8Y3	0.145	25	8.469	8.398	0
PSMC5	26S protease regulatory subunit 8	P62195;A8K3Z3;Q59GS3;B2R8F2	0.366	15	8.724	8.39	0
PSMA3	Proteasome subunit alpha type-3;Proteasome subunit	P25788;Q6IB71;G3V4X5;G3V5N4;G3V3W4	0.265	9	8.713	8.384	0
API5	Apoptosis inhibitor 5	Q9BZZ5;G3V1C3;B4E283;B4DDR3;H0YER7;E9PQK6	0.159	11	8.567	8.382	0
HSPD1	"60 kDa heat shock protein, mitochondrial"	P10809;B3GQS7;B7Z597;B7Z4F6;B7Z5E7;F5GWR2;B7Z532;Q53SE2;E7ESH4;E7EXB4;B9VP19;B9VPB4;B9VP24;B7Z712;C9JL25;C9JCQ4;C9JL19;Q53QD5	-0.324	18	8.688	8.377	0
EIF3CL;EIF3C	Eukaryotic translation initiation factor 3 subunit	B5ME19;A1KYQ7;Q99613;B4E1D5;H3BRV0;F5H4V1;B4DVQ5;B4DDN4;C9J1F3;B4DVU3;B4DRU0;B4E2Z6;B3KNZ4;Q3B7B9;H3BPE4;H3BPE3;H3BTY8	0.311	21	8.384	8.375	0
GTPBP4	Nucleolar GTP-binding protein 1	B3KMC5;D2CFK9;Q53GS0;Q9BZE4;Q8N4P8;B7Z7A3;O60747;B4DHR2;B4DY13;Q5T3R7	0.362	21	9.205	8.361	0
THRAP3	Thyroid hormone receptor-associated protein 3	Q9Y2W1;Q6PJV4;Q6P0P7;Q05D20;Q7Z5U1;H0YF14;B0AZU3	0.245	27	8.539	8.357	0
PSMB2	Proteasome subunit beta type-2	P49721;B7Z478;Q59FJ0	0.175	8	8.649	8.354	0
PSMD13	26S proteasome non-ATPase regulatory subunit 13	Q9UNM6;Q53GN6;Q9Y6E3;B2RBM7;B4DJ66;E9PL38;H0YD73;Q9UNM7;E9PQG3;E9PPD2;F8W8J6	0.346	17	8.811	8.349	0
SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated protein	E7ENP4;Q15182;B3KVR1;Q9UIS4;P14678;P63162;B4DVS0;Q5XPV6;Q66K91;Q53HE7;Q6LBS1	0.123	17	8.861	8.342	0
LARS;PIG44	"Leucine--tRNA ligase, cytoplasmic"	B2RCM2;Q9P2J5;B4E266;F5H698;B4DER1;B4DJ10;Q9H8E3;A2RRR4;Q2TU79;Q9HAM7;Q9NPU8;F5H2Z9;Q9NVP8;B3KXA9;Q9NVC0;Q6NVI4;Q9P0T1;E7EN15;Q0VGM8	-0.063	28	8.492	8.342	0
YARS	"Tyrosine--tRNA ligase, cytoplasmic"	P54577	-0.071	17	8.437	8.332	0
PUF60	Poly(U)-binding-splicing factor PUF60	Q9UHX1;H0YEM1;E9PQ56;E9PN18;H0YCP8;E9PMU7;E9PL19	0.326	16	8.586	8.33	0
SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa	P08621;A8KAQ5;B3KPV0;Q9UFS1	0.072	10	8.513	8.329	0
TUBB;XTP3TPATP1	Tubulin beta chain	B4DY90;P07437;Q5SU16;F8VW92;F8VYX6;Q5JP53;B7ZAF0;F8VUJ7;Q6LC01;Q5ST81;B4E052;E7EWR1;Q9BUU9;B4DQN9;B7ZAK1;B4DMU8;B4DXZ5;Q96B85;Q1KSF8;F5H894;A6NNZ2;I3L2F9;Q5SQY0;C9JAA5;F5H0I4;E9PBJ4;B4DMJ5;A6NKZ8;Q5SQY1;Q6P602;A4UCT2;CON__ENSEMBL:ENSBTAP00000025008;Q9H4B7	-0.221	10	8.953	8.323	0
PRPF6	Pre-mRNA-processing factor 6	O94906	0.247	30	8.472	8.319	0
SRSF2;SFRS2;SRSF8	Serine/arginine-rich splicing factor 2;Serine/argi	H0YG49;Q01130;Q53FN0;B3KUY1;B4DN89;Q8NAK9;Q9BRL6;B3KUF7;B3KVY2;Q8N220;F5GYB8;Q6NXQ0;B3KX15;A4D2F6;A4D2F7	0.357	10	8.749	8.318	0
RPL36A	60S ribosomal protein L36a	H0Y5B4;H7BZ11;B2REA7;P83881;H0Y3V9;H7BY91;B2REA8	0.034	4	8.496	8.309	0
SRSF7	Serine/arginine-rich splicing factor 7	Q16629;C9JAB2;G5E9M3;B4DEK2;B4DLU6;Q8NB80;F8WEA1	0.127	6	8.7	8.307	0
PSMB4	Proteasome subunit beta type-4	P28070;B4DFL3	0.129	6	8.634	8.305	0
BUB3	Mitotic checkpoint protein BUB3	O43684;B4DDM6	0.017	8	8.718	8.304	0
FUBP3	Far upstream element-binding protein 3	A3KFK8;Q96I24;A6NJ37	0.521	13	8.453	8.303	0
PSMA2	Proteasome subunit alpha type-2;Proteasome subunit	P25787;Q53GF5;C9JCK5;H3BT36	0.33	8	8.58	8.299	0
NOP58	Nucleolar protein 58	Q9Y2X3;B3KN82;H7BZ72;B4DUY3;F8WED0	0.897	13	8.411	8.292	0
PSMA5	Proteasome subunit alpha type-5;Proteasome subunit	P28066;Q5U0A0;B4E2V4	0.19	5	8.465	8.29	0
PFKP	6-phosphofructokinase type C;6-phosphofructokinase	Q01813;B3KS15;Q5VSR7;H0Y3P8;Q8WTZ9;O14943;Q5VSR5;B1APP6;B1APP8;Q5VSR6;Q49A78;H0Y757;B1APP9;H0Y3Y3;B1APP7;B4E108;E9PDI3	0.416	20	8.533	8.283	0
EEF1G	Elongation factor 1-gamma	B4DTG2;P26641;Q53YD7;B4DUP0;E7EMT2;B4DUK7;B4DSR4;Q2F838	-0.411	11	8.293	8.281	0
NARS	"Asparagine--tRNA ligase, cytoplasmic"	O43776;B4DN60;B4DGT6;B4DF91;F5H015;B4DG16	-0.118	14	8.489	8.279	0
PABPC4	Polyadenylate-binding protein 4	Q6IQ30;Q13310;B1ANR0;H0Y5F5;Q15164;B1ANR7;Q53GL4;Q3B867;Q147Y3;H0YEU6;H0YCC8;Q59GZ7;B1ANR1;H0YEQ8;P0CB38;H0Y6X6;B1ANR5	0.609	18	8.588	8.278	0
CNBP	Cellular nucleic acid-binding protein	P62633;A8K7V4;E9PDR7;B4DP17;Q6T598	0.311	15	8.677	8.275	0
PSMD11	26S proteasome non-ATPase regulatory subunit 11	Q53FT5;O00231;B4DTS5;H7C067	0.422	17	8.625	8.274	0
SNRPA1	U2 small nuclear ribonucleoprotein A	P09661;Q53G21;Q53G61;H0YMA0;H0YLR3;Q6NVW9;H0YKK0	0.067	7	8.514	8.272	0
DDX6	Probable ATP-dependent RNA helicase DDX6	P26196;B2R858;Q8IV96	0.539	13	8.38	8.269	0
SNRPA	U1 small nuclear ribonucleoprotein A	B2R802;P09012	0.162	6	8.632	8.269	0
PPIB	Peptidyl-prolyl cis-trans isomerase B	P23284	-0.764	11	8.723	8.266	0
PRPS1	Ribose-phosphate pyrophosphokinase;Ribose-phosphat	B2R6T7;P60891;Q53FW2;B4DNL6;B1ALA9;B7ZB02;B1ALA7;A6NMS2;Q15244	-0.213	9	8.759	8.263	0
HNRNPUL2;hCG_2044799	Heterogeneous nuclear ribonucleoprotein U-like pro	Q1KMD3;H3BQZ7	0.198	15	8.374	8.261	0
STAU1	Double-stranded RNA-binding protein Staufen homolo	Q59F99;A8K622;O95793;Q5JW30;B3KRE0;Q5JW28;Q6PJX3;B4DPJ9;E9PF26;Q9NUL3;E9PH62;E7EVJ4;B7Z8B4;E9PEI3;E7EPX0;Q4LE57;A8K276;F8VPI7;Q2TBD5;E9PF50;B7Z1I6;E7ER74;B7Z1P6;E7EVI1;E5RJN7;G5EA18;B7Z292;Q5JW32	0.325	11	8.466	8.259	0
NMT1	Glycylpeptide N-tetradecanoyltransferase 1;Glycylp	P30419;Q96HI4;B7Z8J4;Q9Y465;A4FU65	0.003	13	8.372	8.259	0
ETF1	Eukaryotic peptide chain release factor subunit 1	P62495;B7Z7P8;Q96CG1;I3L492;D6RJE8;D6RCB3	0.298	9	8.295	8.256	0
FXR1	Fragile X mental retardation syndrome-related prot	P51114;B4DXZ6;B4DM21;E9PFF5;B4DM78;B4DGH9;E7EU85;C9JAJ4;H7C4S4;C9JY20;C9JZE0;C9IZ22;C9J5B4;Q8IUI9;C9JYQ6	0.398	13	8.345	8.253	0
CAPRIN1	Caprin-1	Q14444;B4DSF8;E9PLA9;B3KXU8;G3V153;E9PP31	0.49	12	8.436	8.247	0
APEX1	DNA-(apurinic or apyrimidinic site) lyase;DNA-(apu	P27695;Q5TZP7;G3V3M6;G3V5Q1;G3V3C7;G3V359;G3V5M0;G3V5D9;H7C4A8;G3V2D9;G3V574;G3V3Y6	-0.04	8	8.693	8.246	0
HNRNPR;HNRPR;DKFZp686A13234	Heterogeneous nuclear ribonucleoprotein R	B2R7W4;O43390;Q0VGD6;B4DMB1;Q2L7G6;Q6MZS5;B4DT28;E7ETM7;B4DMD1;Q7Z334	0.311	24	8.656	8.236	0
NAA35;MAK10	"N-alpha-acetyltransferase 35, NatC auxiliary subun"	A8K874;Q5VZE5;Q5VZE6;B1AM43	-0.003	1	8.366	8.233	0.00081
PRIC295;GCN1L1	Translational activator GCN1	E1NZA1;Q92616;B4DM32	0.018	40	8.363	8.23	0
PSMC3	26S protease regulatory subunit 6A	P17980;A8K781;E9PM69;E9PKD5;E9PMD8;E9PS45;E9PN50;E9PLG2;E9PLQ8;E9PRB8	0.153	14	8.338	8.226	0
IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 	O00425;F8WD15	0.287	18	8.486	8.225	0
TXLNA	Alpha-taxilin	P40222	0.496	14	8.516	8.222	0
PLRG1	Pleiotropic regulator 1	A8MW61;O43660;H0YA24;D6RA26;B7Z982;H0YAA2	0.168	16	8.469	8.221	0
LRRC47	Leucine-rich repeat-containing protein 47	Q8N1G4	-0.211	11	8.33	8.218	0
ATP1A1	Sodium/potassium-transporting ATPase subunit alpha	B7Z2T5;F5H3A1;P05023;B7Z3U6;B7Z3V1;H7BXX5;E9PC51;B7Z2T0;B7Z9V4;B7Z401;F5H6J6;B2RAQ4;P50993;P13637;Q53ES0;B1AKY9;E9PC07;B3KRI1;B7Z1N5;B7Z3F8;B7Z1Q9;B3KW93;B4DIQ8;H0Y7C1;B1AKZ0;B3KX35;B3KV59;F5H0J0;B3KSY7;B3KNQ8;Q13733;Q5TC01;Q58I23;P20648;Q53FM3;Q658V6;B4E	-0.459	35	8.822	8.216	0
G3BP2	Ras GTPase-activating protein-binding protein 2	Q9UN86;A8K6V7;D6RB17;D6RAC7;D6RGJ4;D6RBW8;D6RE13;D6RBR0;D6REX8;D6RBM9;D6R9A4;D6R9X5	0.459	7	8.267	8.214	0
RPL35;LOC154880	60S ribosomal protein L35	P42766;A4D2M5;F2Z388;H0Y3A0	0.382	3	8.427	8.214	0
RALY	RNA-binding protein Raly	Q53GL6;Q9UKM9;A8K4T9;Q5QPL9;Q5QPM1;Q5QPM0;B4DSJ1;Q5QPM2	0.237	8	8.532	8.211	0
CLTC	Clathrin heavy chain 1	Q00610;P53675;A4FU99;F5H5N6	-0.46	41	8.563	8.209	0
ELAVL1	ELAV-like protein 1	B4DVB8;Q15717;B1AM49;B1APY8;P26378;B1APY9;Q12926;B7Z5E0;B1AM48	0.442	8	8.569	8.208	0
MSN	Moesin	P26038;Q6PJT4;B7Z4C7	0.311	10	8.334	8.203	0
EWSR1	RNA-binding protein EWS	Q01844;B0QYK0;B0QYK1;Q96MN4;C9JGE3;H7BY36;C3UMV2;C3UMV3;F1JVV5;C3UMV4;F8WC90;Q71E78;A9Z0R7	0.205	10	8.435	8.197	0
EIF2A	Eukaryotic translation initiation factor 2A	Q9BY44;B4DQ14;F8WAE5;B4DF96;C9IZE1;H7C5Q3;H7C5R5;F8WAT3;F8WF18	0.348	13	8.424	8.194	0
LYAR	Cell growth-regulating nucleolar protein	A8K3Y5;Q9NX58;D6RDJ1	0.41	13	8.473	8.193	0
EIF3D	Eukaryotic translation initiation factor 3 subunit	O15371;A8MWD3;B4DVY1;B4E1K8;B0QYA3;B0QYA4;B0QYA5;B0QYA7;B0QYA6;B0QYA8	0.353	7	8.384	8.191	0
RPS12	40S ribosomal protein S12	P25398	0.376	8	8.489	8.186	0
ANXA2;ANXA2P2	Annexin A2;Annexin;Putative annexin A2-like protei	P07355;H0YN42;H0YMU9;H0YMD0;A6NMY6;H0YM50;B4DNH8;H0YKS4;H0YMM1;B3KRQ1;H0YNP5;H0YMW4;H0YL33;H0YN28;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YKL9;H0YKV8;H0YNA0;H0YMD9;H0YKN4;H0YN52;H0YNB8;H0YLE2	0.362	8	8.24	8.185	0
YWHAE/FAM22A fusion;YWHAE/FAM22B fusion;YWHAE	14-3-3 protein epsilon	G9K388;G9K389;P62258;B7ZA86;B4DJB0;I3L3T1;B4DJF2;B3KT37	-0.358	11	8.723	8.184	0
EIF3F	Eukaryotic translation initiation factor 3 subunit	B3KSH1;O00303;B4DMT5;B4DEW9;Q9BX72;H0YDT6	0.238	13	8.325	8.181	0
PSMC6	26S protease regulatory subunit 10B	P62333;H0YJC0;H0YJS8;H0YJX2	0.259	10	8.55	8.179	0
HSP90B1;TRA1	Endoplasmin	P14625;Q5CAQ5;Q59FC6;E9PEX3;B4DU71;B4DHT9;Q96GW1;Q58FF2;Q58FF3;H0YIV0;B4DQX3;F8W026	-0.404	30	8.7	8.176	0
DIS3	Exosome complex exonuclease RRP44	A8QI98;Q9Y2L1;G3V1J5;Q49AG4;F2Z2C0;B3KM83	0.3	15	8.276	8.175	0
EIF3E;EIF3S6	Eukaryotic translation initiation factor 3 subunit	B2R806;P60228;Q6IAX5;B3KW56;E5RGA2;H0YBR5;E5RIT4;E5RHS5;H0YAW4	0.337	10	8.48	8.172	0
RPLP2	60S acidic ribosomal protein P2	P05387;H0YDD8	0.393	5	8.434	8.166	0
U2AF2	Splicing factor U2AF 65 kDa subunit	P26368;B5BU25	0.199	11	8.644	8.166	0
TPR;tpr	Nucleoprotein TPR	P12270;Q99968;Q15624;Q504U6;Q58F23;A0PJC9;Q9UE33;Q5SWX9	0.553	31	8.288	8.164	0
HUWE1	E3 ubiquitin-protein ligase HUWE1	Q7Z6Z7;H0Y5W0;Q5H924;H0Y659;Q5H935;Q53FW4	0.313	2	8.428	8.161	0.0042
FBL	rRNA 2-O-methyltransferase fibrillarin	P22087;Q96BS4;B4DLD4	0.766	10	8.614	8.152	0
PCBP2	Poly(rC)-binding protein 2	Q59HD4;I6L8F9;Q15366;G3V0E8;B4DLC0;B4DXP5;F8VZX2;H3BRU6;B4DRD7;F8VRG9;F8VWQ4;F8W1G6;F8VXH9;F8W0G4;P57721;E9PFP8;Q5MJP6;H9KV40;F8VRH0;H3BSS4;H3BND9	0.485	9	8.657	8.152	0
ZC3H15	Zinc finger CCCH domain-containing protein 15	Q8WU90;B7Z592;F5H0F5;B4DMW2;F8WB26;H7C466	0.321	13	8.401	8.146	0
HIST1H2AK;HIST1H2AB;HIST1H2AG;HIST1H2AD;HIST2H2AA3	Histone H2A;Histone H2A type 1-B/E;Histone H2A typ	A4FTV9;B2R5B3;P04908;P0C0S8;P20671;Q08AJ9;Q6FI13;Q7L7L0;Q93077;A3KPC7;Q96KK5;Q99878;P16104;Q96QV6;B2R5B6;Q16777;Q9BTM1;C9JE22;Q8IUE6;P0C0S5;Q71UI9;C9J0D1;B4E0B3;H0YFX9;F5H4B2;A6NKY0;A6NFA8;C9J386;A8MQC5	-0.114	6	8.636	8.143	0
CPSF7	Cleavage and polyadenylation specificity factor su	Q8N684;B4DGF8;F5H669;F5H047;F5GWE6;F5H6M0;C9J323;C9J286;C9JM38;F5GXA3;F5H6A8;F5H6P5;F5H2K8;F5H1W4;F5H5B7	0.313	11	8.276	8.141	0
SNRPD3	Small nuclear ribonucleoprotein Sm D3	P62318;B4DJP7;H3BT13	0.132	7	8.637	8.141	0
RAB5C	Ras-related protein Rab-5C	F8W1H5;P51148	-0.88	6	8.748	8.14	0
STRBP	Spermatid perinuclear RNA-binding protein	Q96SI9;H0YC91	0.311	3	8.229	8.138	0
