Row	GI Accession	Name	Peptides	Species	Annotation	From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
90	7949029	CDP-diacylglycerol synthase	14	Mus musculus		CDS1_HUMAN	Q92903	reviewed	CDS1_HUMAN	Phosphatidate cytidylyltransferase 1 (EC 2.7.7.41) (CDP-DAG synthase 1) (CDP-DG synthase 1) (CDP-diacylglycerol synthase 1) (CDS 1) (CDP-diglyceride pyrophosphorylase 1) (CDP-diglyceride synthase 1) (CTP:phosphatidate cytidylyltransferase 1)	CDS1 CDS	Homo sapiens (Human)	461
91	19424302	glucosyltransferase UGGT 	8	Rattus norvegicus		RTN4_HUMAN	Q9NQC3	reviewed	RTN4_HUMAN	Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5)	RTN4 KIAA0886 NOGO My043 SP1507	Homo sapiens (Human)	1192
92	13929188	nogo-A protein	14	Rattus norvegicus		RTN4R_HUMAN	Q9BZR6	reviewed	RTN4R_HUMAN	Reticulon-4 receptor (Nogo receptor) (NgR) (Nogo-66 receptor)	RTN4R NOGOR UNQ330/PRO526	Homo sapiens (Human)	473
93	6822249	nogo-B protein	13	Rattus norvegicus	CCV	APBB3_HUMAN	O95704	reviewed	APBB3_HUMAN	Amyloid-beta A4 precursor protein-binding family B member 3 (Protein Fe65-like 2) (Fe65L2)	APBB3 FE65L2	Homo sapiens (Human)	486
94	34222535	early endosome antigen 1	9	Mus musculus		EEA1_HUMAN	Q15075	reviewed	EEA1_HUMAN	Early endosome antigen 1 (Endosome-associated protein p162) (Zinc finger FYVE domain-containing protein 2)	EEA1 ZFYVE2	Homo sapiens (Human)	1411
95	16758842	"amyloid beta (A4) precursor protein-binding, family B, member 3"	14	Rattus norvegicus		CTL1_HUMAN	Q8WWI5	reviewed	CTL1_HUMAN	Choline transporter-like protein 1 (CDw92) (Solute carrier family 44 member 1) (CD antigen CD92)	SLC44A1 CD92 CDW92 CTL1	Homo sapiens (Human)	657
96	23346593	"ATP-binding cassette, sub-family A (ABC1), member 8a "	17	Mus musculus		ABCA8_HUMAN	O94911	reviewed	ABCA8_HUMAN	ABC-type organic anion transporter ABCA8 (EC 7.6.2.-) (ATP-binding cassette sub-family A member 8)	ABCA8 KIAA0822	Homo sapiens (Human)	1621
97	23956076	"ATP-binding cassette, sub-family A (ABC1), member 8b "	23	Mus musculus		ABCA8_HUMAN	O94911	reviewed	ABCA8_HUMAN	ABC-type organic anion transporter ABCA8 (EC 7.6.2.-) (ATP-binding cassette sub-family A member 8)	ABCA8 KIAA0822	Homo sapiens (Human)	1621
98	477319	calpain (EC 3.4.22.17) large chain 2	10	Rattus norvegicus		CAN8_HUMAN	A6NHC0	reviewed	CAN8_HUMAN	Calpain-8 (EC 3.4.22.53) (New calpain 2) (nCL-2) (Stomach-specific M-type calpain)	CAPN8 NCL2	Homo sapiens (Human)	703
99	17148511	choline transporter like protein variant a	3	Rattus norvegicus		SHLB2_HUMAN	Q9NR46	reviewed	SHLB2_HUMAN	Endophilin-B2 (SH3 domain-containing GRB2-like protein B2)	SH3GLB2 KIAA1848 PP578	Homo sapiens (Human)	395
100	9910352	endophilin B2	14	Homo sapiens		CTR1_HUMAN	P30825	reviewed	CTR1_HUMAN	High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter)	SLC7A1 ATRC1 ERR REC1L	Homo sapiens (Human)	629
101	34873536	GPR158-like 1 receptor (similar to mKIAA1136 protein)	8	Rattus norvegicus		GP179_HUMAN	Q6PRD1	reviewed	GP179_HUMAN	Probable G-protein coupled receptor 179 (Probable G-protein coupled receptor 158-like 1) (GPR158-like)	GPR179 GPR158L GPR158L1	Homo sapiens (Human)	2367
102	1706187	high-affinity cationic amino acid transporter-1 (CAT-1) 	4	Rattus norvegicus		MTA1_HUMAN	Q13330	reviewed	MTA1_HUMAN	Metastasis-associated protein MTA1	MTA1	Homo sapiens (Human)	715
103	12018244	metastasis Associated protein 1	6	Rattus norvegicus		RUSC1_HUMAN	Q9BVN2	reviewed	RUSC1_HUMAN	AP-4 complex accessory subunit RUSC1 (New molecule containing SH3 at the carboxy-terminus) (Nesca) (RUN and SH3 domain-containing protein 1)	RUSC1 NESCA	Homo sapiens (Human)	902
104	33989897	"NESCA, RUN and SH3 domain containing 1"	12	Mus musculus		PCLO_HUMAN	Q9Y6V0	reviewed	PCLO_HUMAN	Protein piccolo (Aczonin)	PCLO ACZ KIAA0559	Homo sapiens (Human)	5142
105	13507628	neurobeachin	17	Mus musculus		NBEA_HUMAN	Q8NFP9	reviewed	NBEA_HUMAN	Neurobeachin (Lysosomal-trafficking regulator 2) (Protein BCL8B)	NBEA BCL8B KIAA1544 LYST2	Homo sapiens (Human)	2946
106	9507118	OCTN2 Slc22a5	1	Rattus norvegicus		S22A5_HUMAN	O76082	reviewed	S22A5_HUMAN	Organic cation/carnitine transporter 2 (High-affinity sodium-dependent carnitine cotransporter) (Solute carrier family 22 member 5)	SLC22A5 OCTN2	Homo sapiens (Human)	557
107	24212084	"piccolo protein, Presynaptic cytomatrix protein, Aczonin"	11	Mus musculus		PLP2_HUMAN	Q04941	reviewed	PLP2_HUMAN	Proteolipid protein 2 (Differentiation-dependent protein A4) (Intestinal membrane A4 protein)	PLP2 A4	Homo sapiens (Human)	152
108	9790169	proteolipid protein 2	2	Mus musculus		S27A2_HUMAN	O14975	reviewed	S27A2_HUMAN	"Long-chain fatty acid transport protein 2 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain acyl-CoA synthetase) (VLACS) (VLCS) (EC 6.2.1.-) (Very long-chain-fatty-acid-CoA ligase)"	SLC27A2 ACSVL1 FACVL1 FATP2 VLACS	Homo sapiens (Human)	620
109	34878924	protocadherin gamma A7 	22	Rattus norvegicus		PCDG7_HUMAN	Q9Y5G6	reviewed	PCDG7_HUMAN	Protocadherin gamma-A7 (PCDH-gamma-A7)	PCDHGA7	Homo sapiens (Human)	932
110	34881409	"protocadherin 19, similar to "	21	Rattus norvegicus		PCD19_HUMAN	Q8TAB3	reviewed	PCD19_HUMAN	Protocadherin-19	PCDH19 KIAA1313	Homo sapiens (Human)	1148
111	13929034	solute carrier family 27 (fatty acid transporter) member 2 	3	Rattus norvegicus		NCKX1_HUMAN	O60721	reviewed	NCKX1_HUMAN	Sodium/potassium/calcium exchanger 1 (Na(+)/K(+)/Ca(2+)-exchange protein 1) (Retinal rod Na-Ca+K exchanger) (Solute carrier family 24 member 1)	SLC24A1 KIAA0702 NCKX1	Homo sapiens (Human)	1099
112	17865500	sodium/potassium/calcium exchanger 1 precursor 	7	Rattus norvegicus		ADIP_HUMAN	Q9Y2D8	reviewed	ADIP_HUMAN	Afadin- and alpha-actinin-binding protein (ADIP) (Afadin DIL domain-interacting protein) (SSX2-interacting protein)	SSX2IP KIAA0923	Homo sapiens (Human)	614
113	20270273	"synovial sarcoma, X breakpoint 2 interacting protein"	11	Mus musculus		TPD54_HUMAN	O43399	reviewed	TPD54_HUMAN	Tumor protein D54 (hD54) (Tumor protein D52-like 2)	TPD52L2	Homo sapiens (Human)	206
114	38454226	tumor protein D52-like 2	45	Rattus norvegicus		ANTR1_HUMAN	Q9H6X2	reviewed	ANTR1_HUMAN	Anthrax toxin receptor 1 (Tumor endothelial marker 8)	ANTXR1 ATR TEM8	Homo sapiens (Human)	564
115	34854984	similar to PC-1	14	Rattus norvegicus		TPD52_HUMAN	P55327	reviewed	TPD52_HUMAN	Tumor protein D52 (Protein N8)	TPD52	Homo sapiens (Human)	224
116	16933553	tumor endothelial marker 8 isoform 3 precursor	5	Homo sapiens	AP-3	SCNBA_HUMAN	Q9UI33	reviewed	SCNBA_HUMAN	Sodium channel protein type 11 subunit alpha (Peripheral nerve sodium channel 5) (PN5) (Sensory neuron sodium channel 2) (Sodium channel protein type XI subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.9) (hNaN)	SCN11A SCN12A SNS2	Homo sapiens (Human)	1791
117	41281746	VEPH isoform A 	13	Mus musculus		MELT_HUMAN	Q14D04	reviewed	MELT_HUMAN	Ventricular zone-expressed PH domain-containing protein homolog 1 (Protein melted)	VEPH1 KIAA1692 VEPH	Homo sapiens (Human)	833
118	5833120	voltage-gated sodium channel Na(v)1.9/NaN	8	Mus musculus		HXK2_HUMAN	P52789	reviewed	HXK2_HUMAN	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase)	HK2	Homo sapiens (Human)	917
119	34859400	"WD repeat domain 11,  similar to"	4	Rattus norvegicus		WDR11_HUMAN	Q9BZH6	reviewed	WDR11_HUMAN	WD repeat-containing protein 11 (Bromodomain and WD repeat-containing protein 2) (WD repeat-containing protein 15)	WDR11 BRWD2 KIAA1351 WDR15	Homo sapiens (Human)	1224
120	543359	6-phosphofructo-2-kinase	4	Rattus norvegicus	CCV	F262_HUMAN	O60825	reviewed	F262_HUMAN	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]"	PFKFB2	Homo sapiens (Human)	505
121	204615	hexokinase type II	3	Rattus norvegicus		TPD52_HUMAN	P55327	reviewed	TPD52_HUMAN	Tumor protein D52 (Protein N8)	TPD52	Homo sapiens (Human)	224
122	38049648	hypothetical protein	4	Mus musculus		ATG9A_HUMAN	Q7Z3C6	reviewed	ATG9A_HUMAN	Autophagy-related protein 9A (APG9-like 1) (mATG9)	ATG9A APG9L1	Homo sapiens (Human)	839
123	38092053	hypothetical protein 	31	Mus musculus		RS6_HUMAN	P62753	reviewed	RS6_HUMAN	Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33)	RPS6 OK/SW-cl.2	Homo sapiens (Human)	249
124	34880553	hypothetical protein FLJ14503	10	Rattus norvegicus		MA7D2_HUMAN	Q96T17	reviewed	MA7D2_HUMAN	MAP7 domain-containing protein 2	MAP7D2	Homo sapiens (Human)	732
125	30424677	RIKEN cDNA A930021H16	9	Mus musculus		MILK2_HUMAN	Q8IY33	reviewed	MILK2_HUMAN	MICAL-like protein 2 (Junctional Rab13-binding protein) (Molecule interacting with CasL-like 2) (MICAL-L2)	MICALL2 JRAB	Homo sapiens (Human)	904
126	34856548	RIKEN cDNA B230365D05	12	Rattus norvegicus		CDC42_HUMAN	P60953	reviewed	CDC42_HUMAN	Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein)	CDC42	Homo sapiens (Human)	191
127	26458730	RIKEN visual cortex cDNA clone	2	Mus musculus		SHLB2_HUMAN	Q9NR46	reviewed	SHLB2_HUMAN	Endophilin-B2 (SH3 domain-containing GRB2-like protein B2)	SH3GLB2 KIAA1848 PP578	Homo sapiens (Human)	395
128	26327937	unnamed protein product 	13	Mus musculus		F91A1_HUMAN	Q658Y4	reviewed	F91A1_HUMAN	Protein FAM91A1	FAM91A1	Homo sapiens (Human)	838
129	28972251	mKIAA0493 protein 	23	Mus musculus		F91A1_HUMAN	Q658Y4	reviewed	F91A1_HUMAN	Protein FAM91A1	FAM91A1	Homo sapiens (Human)	838
130	37359752	mKIAA0051 protein	9	Mus musculus		TYW1_HUMAN	Q9NV66	reviewed	TYW1_HUMAN	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1 (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 1) (tRNA wybutosine-synthesizing protein 1 homolog) (tRNA-yW-synthesizing protein)	TYW1 RSAFD1	Homo sapiens (Human)	732
131	34866451	similar to KIAA0342 protein	7	Rattus norvegicus		TRNK1_HUMAN	O15050	reviewed	TRNK1_HUMAN	TPR and ankyrin repeat-containing protein 1 (Lupus brain antigen 1 homolog)	TRANK1 KIAA0342 LBA1	Homo sapiens (Human)	2925
132	34856467	similar to mKIAA1927 protein	17	Rattus norvegicus		ITPI2_HUMAN	P28290	reviewed	ITPI2_HUMAN	Protein ITPRID2 (Cleavage signal-1 protein) (CS-1) (ITPR-interacting domain-containing protein 2) (Ki-ras-induced actin-interacting protein) (Sperm-specific antigen 2)	ITPRID2 CS1 KIAA1927 KRAP SSFA2	Homo sapiens (Human)	1259
133	38074469	similar to KIAA1074 protein 	22	Rattus norvegicus		ANR26_HUMAN	Q9UPS8	reviewed	ANR26_HUMAN	Ankyrin repeat domain-containing protein 26	ANKRD26 KIAA1074	Homo sapiens (Human)	1710
134	20071522	similar to hypothetical protein FLJ10900	12	Mus musculus		TYW1_HUMAN	Q9NV66	reviewed	TYW1_HUMAN	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1 (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 1) (tRNA wybutosine-synthesizing protein 1 homolog) (tRNA-yW-synthesizing protein)	TYW1 RSAFD1	Homo sapiens (Human)	732
135	26458730	RIKEN visual cortex cDNA clone	2	Mus musculus		SHLB2_HUMAN	Q9NR46	reviewed	SHLB2_HUMAN	Endophilin-B2 (SH3 domain-containing GRB2-like protein B2)	SH3GLB2 KIAA1848 PP578	Homo sapiens (Human)	395
136	22834095	IMAGE 6530351	2	Mus musculus		ATG9A_HUMAN	Q7Z3C6	reviewed	ATG9A_HUMAN	Autophagy-related protein 9A (APG9-like 1) (mATG9)	ATG9A APG9L1	Homo sapiens (Human)	839
137	18510397	IMAGE 5504109	2	Mus musculus		ATG9A_HUMAN	Q7Z3C6	reviewed	ATG9A_HUMAN	Autophagy-related protein 9A (APG9-like 1) (mATG9)	ATG9A APG9L1	Homo sapiens (Human)	839
