User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
SNX6	SNX6	42 / 716	1.3	3
MCM6	MCM6	282 / 716	7.6	42
ARCN1	ARCN1	263 / 716	3.7	18
DKFZP686M09245	Invalid identifier / gene not available			
AP4S1	AP4S1	 / 716	0	
PPIL2	PPIL2	46 / 716	1.6	7
CAT	CAT	57 / 716	3	18
CUL3	CUL3	46 / 716	1.9	6
C17ORF75	C17ORF75	8 / 716	1.1	2
HIST1H4L	HIST1H4L	489 / 716	15.3	305
HIST1H4A	HIST1H4A	489 / 716	15.3	305
HIST1H4H	HIST1H4H	489 / 716	15.3	305
PPIH	PPIH	122 / 716	4.4	20
FLOT1	FLOT1	45 / 716	5.6	34
MTOR	MTOR	11 / 716	1.6	6
TK1	TK1	14 / 716	1.5	3
HIST2H2BF	HIST2H2BF	515 / 716	17.3	145
HIST1H2BF	HIST1H2BF	515 / 716	17.3	145
HIST1H2BK	HIST1H2BK	515 / 716	17.3	145
HIST1H2BD	HIST1H2BD	515 / 716	17.3	145
HIST1H2BC	HIST1H2BC	515 / 716	17.3	145
FLNA	FLNA	508 / 716	174.1	2388
DYNLL1	DYNLL1	240 / 716	2.1	22
DNCL1	Invalid identifier / gene not available			
DYNLL2	DYNLL2	183 / 716	1.7	19
ARPC3	ARPC3	78 / 716	2.7	10
COPB2	COPB2	164 / 716	3.6	22
PSME1	PSME1	69 / 716	2	13
RAB8A	RAB8A	164 / 716	2.6	12
NAA35	NAA35	6 / 716	1	1
MAK10	Invalid identifier / gene not available			
LYZ	LYZ	74 / 716	2.4	19
DCD	DCD	279 / 716	3.7	45
CAP1	CAP1	182 / 716	4.1	40
ATG9A	ATG9A	1 / 716	1	1
AIMP2	AIMP2	172 / 716	2.2	13
SAP18	SAP18	167 / 716	4	26
NMT1	NMT1	113 / 716	2.7	8
AP4M1	AP4M1	 / 716	0	
ARF3	ARF3	261 / 716	6.4	32
ARF1	ARF1	262 / 716	6.3	32
FEN1	FEN1	232 / 716	3.9	44
NEK9	NEK9	89 / 716	5.6	14
HSPA1B	HSPA1B	698 / 716	49.4	319
HSPA1A	HSPA1A	698 / 716	49.4	319
BUB3	BUB3	298 / 716	3.8	14
PRIC295	Invalid identifier / gene not available			
GCN1L1	Invalid identifier / gene not available			
TRAPPC12	TRAPPC12	1 / 716	2	2
CGI-87	CGI-87	1 / 716	2	2
SNRPD1	SNRPD1	356 / 716	5.7	66
ALDH16A1	ALDH16A1	27 / 716	1.8	5
SERINC3	SERINC3	 / 716	0	
SAMHD1	SAMHD1	120 / 716	1.5	13
WDR18	WDR18	161 / 716	3	22
UBR4	UBR4	106 / 716	7.4	76
UBIAD1	UBIAD1	21 / 716	1.5	3
SYPL	Invalid identifier / gene not available			
SYPL1	SYPL1	20 / 716	1.1	3
RPL36A	RPL36A	220 / 716	3.8	28
HNRNPF	HNRNPF	528 / 716	9.2	56
BMS1	BMS1	141 / 716	5.1	44
RFC4	RFC4	162 / 716	2.3	12
CDC73	CDC73	162 / 716	5.3	39
RBM39	RBM39	366 / 716	11.1	127
DKFZP781C0423	Invalid identifier / gene not available			
DKFZP686A11192	Invalid identifier / gene not available			
DKFZP686C17209	Invalid identifier / gene not available			
GNAS	GNAS	207 / 716	2.9	26
GSA	Invalid identifier / gene not available			
PRMT5	PRMT5	285 / 716	109.5	3096
RCC2	RCC2	336 / 716	6.2	34
EEF1A2	EEF1A2	645 / 716	17.6	178
SFRS4	Invalid identifier / gene not available			
SRSF4	SRSF4	317 / 716	3	28
GLT25D1	Invalid identifier / gene not available			
SNRPE	SNRPE	259 / 716	2.5	12
RPAP3	RPAP3	114 / 716	4.6	13
CAPZB	CAPZB	366 / 716	7	72
EXOSC2	EXOSC2	130 / 716	2.8	19
DAGLB	DAGLB	 / 716	0	
MCM5	MCM5	208 / 716	5.6	39
SPATA5	SPATA5	107 / 716	1.8	7
FAM91A1	FAM91A1	81 / 716	2.6	9
PPP1CA	PPP1CA	325 / 716	6.1	39
ATP2B1	ATP2B1	66 / 716	1.8	8
ATP2B2	ATP2B2	42 / 716	1	2
ATP2B4	ATP2B4	58 / 716	1.4	4
ATP2B3	ATP2B3	46 / 716	1.2	3
ATP2B2	ATP2B2	42 / 716	1	2
VARIANT	Invalid identifier / gene not available			
PROTEIN	Invalid identifier / gene not available			
GAPDH	GAPDH	458 / 716	14.2	124
BZW1	BZW1	35 / 716	2	11
HCG_2022736	Invalid identifier / gene not available			
NBLA10236	Invalid identifier / gene not available			
YTHDC1	YTHDC1	42 / 716	7.4	36
SNRPC	SNRPC	221 / 716	2.3	8
UBAP1L	UBAP1L	 / 716	0	
DHX30	DHX30	188 / 716	6.5	48
CACYBP	CACYBP	187 / 716	2.9	22
SNRPA1	SNRPA1	314 / 716	8.2	64
IER3	IER3	 / 716	0	
PSMC1	PSMC1	195 / 716	5.9	44
NAGPA	NAGPA	 / 716	0	
SNRNP70	SNRNP70	266 / 716	6.8	48
ARPC1A	ARPC1A	62 / 716	2.6	14
RPLP0	RPLP0	436 / 716	8.3	57
RPLP0P6	RPLP0P6	420 / 716	5.8	48
EXOSC6	EXOSC6	179 / 716	2.2	9
SF3A2	SF3A2	176 / 716	4.2	23
SYNGR2	SYNGR2	6 / 716	1	1
GEMIN2	GEMIN2	31 / 716	1.7	3
PPIL4	PPIL4	213 / 716	4.8	26
GNB2L1	Invalid identifier / gene not available			
SNRPD2	SNRPD2	340 / 716	4.5	38
EIF2B3	EIF2B3	38 / 716	1.3	3
PPP1CC	PPP1CC	343 / 716	5.7	38
CCDC93	CCDC93	 / 716	0	
PPAT	PPAT	43 / 716	1.9	6
IPO7	IPO7	191 / 716	5.3	19
XLKD1	Invalid identifier / gene not available			
LYVE1	LYVE1	 / 716	0	
RPS27	RPS27	411 / 716	3.2	26
SERINC1	SERINC1	1 / 716	1	1
RBFOX1	RBFOX1	38 / 716	1.4	5
RBFOX2	RBFOX2	43 / 716	1.5	5
RBM9	Invalid identifier / gene not available			
A2BP1	Invalid identifier / gene not available			
DKFZP547L059	Invalid identifier / gene not available			
RBFOX3	RBFOX3	23 / 716	1.2	3
RPL13	RPL13	474 / 716	5.8	50
VPS26B	VPS26B	6 / 716	10.8	46
DNM2	DNM2	113 / 716	2.4	12
EDC4	EDC4	163 / 716	6.2	32
EIF3I	EIF3I	280 / 716	5.9	37
USP39	USP39	109 / 716	3.4	11
ACTR1A	ACTR1A	208 / 716	4.6	23
ACTR1B	ACTR1B	137 / 716	2.3	8
SARS	SARS	56 / 716	2.1	8
AP4B1	AP4B1	 / 716	0	
ACP2	ACP2	1 / 716	1	1
EFTUD2	EFTUD2	381 / 716	10.3	94
U5-116KD	Invalid identifier / gene not available			
SNRP116	Invalid identifier / gene not available			
NPM1	NPM1	554 / 716	21.5	317
RPL13A	RPL13A	294 / 716	6.2	60
RP11-365K22	Invalid identifier / gene not available			
RPL13A	RPL13A	294 / 716	6.2	60
SARNP	SARNP	213 / 716	3.1	13
CIP29	Invalid identifier / gene not available			
RPL24	RPL24	447 / 716	4.6	22
AP3M1	AP3M1	70 / 716	1.7	7
DKFZP586G1518	Invalid identifier / gene not available			
RPL21	RPL21	329 / 716	4.9	36
RPL7A	RPL7A	398 / 716	8.1	57
RP-L7A	Invalid identifier / gene not available			
RPS15	RPS15	239 / 716	5.4	26
PSMB6	PSMB6	189 / 716	3.3	16
AP4E1	AP4E1	4 / 716	1	1
RPL14	RPL14	333 / 716	4.1	34
RUSC1	RUSC1	 / 716	0	
MYEF2	MYEF2	27 / 716	2.1	6
ARPC1B	ARPC1B	44 / 716	3.2	12
SNRPB	SNRPB	308 / 716	7.8	192
SNRPN	SNRPN	308 / 716	7.8	192
PSMD14	PSMD14	168 / 716	3.1	16
TRAPPC11	TRAPPC11	 / 716	0	
VIM	VIM	543 / 716	39.2	673
SRSF7	SRSF7	351 / 716	4.7	34
LASP1	LASP1	60 / 716	2.3	14
EIF2S3	EIF2S3	270 / 716	4	17
EIF2S3L	EIF2S3L	266 / 716	3.4	14
NCL	NCL	527 / 716	25.4	265
HIST1H2BJ	HIST1H2BJ	513 / 716	16.6	139
HIST1H2BO	HIST1H2BO	513 / 716	16.6	139
HIST1H2BB	HIST1H2BB	513 / 716	16.6	139
HIST2H2BE	HIST2H2BE	513 / 716	16.6	139
HIST3H2BB	HIST3H2BB	513 / 716	16.2	135
PSMB4	PSMB4	149 / 716	3.5	17
GNPDA1	GNPDA1	20 / 716	1.4	4
NEMF	NEMF	11 / 716	1.5	3
RECQL	RECQL	69 / 716	2.1	11
SNRPD3	SNRPD3	377 / 716	5.1	170
RPL17	RPL17	424 / 716	5.3	35
SF3B2	SF3B2	317 / 716	17.5	140
DKFZP781L0540	Invalid identifier / gene not available			
ARPC4	ARPC4	111 / 716	2.7	12
ARPC4-TTLL3	ARPC4-TTLL3	111 / 716	2.7	12
POLR2A	POLR2A	175 / 716	4.5	84
LSM3	LSM3	108 / 716	1.8	6
RPL35A	RPL35A	220 / 716	4.2	23
TUBA1C	TUBA1C	694 / 716	45.6	290
TUBA1B	TUBA1B	694 / 716	47.2	290
EIF2B4	EIF2B4	44 / 716	1.9	6
DKFZP586J0119	Invalid identifier / gene not available			
CRNKL1	CRNKL1	92 / 716	3.9	29
DKFZP762M013	Invalid identifier / gene not available			
CRN	Invalid identifier / gene not available			
DDX46	DDX46	302 / 716	31.9	219
TRAPPC3	TRAPPC3	17 / 716	1.1	2
SNRNP40	SNRNP40	150 / 716	4	22
WDR57	Invalid identifier / gene not available			
KARS	KARS	216 / 716	6.9	30
MCM7	MCM7	328 / 716	8.3	58
THOC3	THOC3	162 / 716	1.8	7
TRAPPC8	TRAPPC8	4 / 716	1.5	3
KIAA1012	Invalid identifier / gene not available			
MDN1	MDN1	85 / 716	2.4	8
RDX	RDX	225 / 716	4.5	50
GNL3	GNL3	256 / 716	4.8	62
DNAJB1	DNAJB1	143 / 716	3.4	22
PSMC3	PSMC3	225 / 716	5.2	30
ENO1	ENO1	478 / 716	19.8	163
RBM8A	RBM8A	123 / 716	2.5	13
ACTR2	ACTR2	140 / 716	3.5	55
RPL10	RPL10	369 / 716	5	42
RPL10L	RPL10L	237 / 716	2.9	15
PSMB7	PSMB7	141 / 716	3.1	17
DDB1	DDB1	212 / 716	6.9	53
API5	API5	150 / 716	3.5	34
PSMB1	PSMB1	186 / 716	3.7	13
RPL7	RPL7	335 / 716	8.2	60
RAB43	RAB43	131 / 716	1.5	6
SRRT	SRRT	171 / 716	5.1	48
SNRPA	SNRPA	194 / 716	3.9	42
EHD4	EHD4	12 / 716	1.2	3
EEF1E1	EEF1E1	214 / 716	2.8	16
SERBP1	SERBP1	468 / 716	15.6	104
DKFZP686P17171	Invalid identifier / gene not available			
DKFZP686L12167	Invalid identifier / gene not available			
AP4E1	AP4E1	4 / 716	1	1
C7ORF50	C7ORF50	62 / 716	2	6
RARS	RARS	333 / 716	9.4	47
FUS	FUS	428 / 716	19	133
FXR2	FXR2	139 / 716	3.7	47
RPL34	RPL34	247 / 716	3	12
CCT7	CCT7	360 / 716	14.4	115
CCT4	CCT4	433 / 716	13.6	94
PLRG1	PLRG1	108 / 716	5.1	30
PSMA1	PSMA1	180 / 716	5	23
RPL31	RPL31	335 / 716	4.3	23
PSMB5	PSMB5	201 / 716	5	25
EIF3EIP	Invalid identifier / gene not available			
EIF3L	EIF3L	204 / 716	5.3	24
FKBP3	FKBP3	127 / 716	2.8	14
RPL27	RPL27	324 / 716	4.3	46
EIF3G	EIF3G	289 / 716	4.9	41
EIF3S4	Invalid identifier / gene not available			
RPS26	RPS26	375 / 716	3.5	65
RP11-151A6	Invalid identifier / gene not available			
RPS26P11	RPS26P11	306 / 716	2.9	64
RPL23	RPL23	507 / 716	5.5	48
PSMB2	PSMB2	159 / 716	3.2	14
HNRPK	Invalid identifier / gene not available			
HNRNPK	HNRNPK	581 / 716	23.2	150
RPL23A	RPL23A	418 / 716	6.4	41
ADRM1	ADRM1	196 / 716	1.9	8
DKFZP686G2045	Invalid identifier / gene not available			
DKFZP686L20222	Invalid identifier / gene not available			
CDK1	CDK1	282 / 716	4.2	23
CDK3	CDK3	229 / 716	1.9	7
CDK2	CDK2	234 / 716	2.4	13
PYGL	PYGL	74 / 716	3.4	23
RPL27A	RPL27A	430 / 716	3.5	19
L27A	Invalid identifier / gene not available			
CCT3	CCT3	367 / 716	15	116
RNF20	RNF20	62 / 716	2.5	11
PRPF4	PRPF4	148 / 716	5.7	43
RPL36	RPL36	221 / 716	2.8	12
BCAS2	BCAS2	104 / 716	4.2	26
UPF3B	UPF3B	42 / 716	1.5	5
TCP1	TCP1	432 / 716	18.2	147
DNAJC8	DNAJC8	167 / 716	2.5	11
PHF6	PHF6	156 / 716	1.8	8
PSMA7	PSMA7	194 / 716	4.9	22
NAA10	NAA10	80 / 716	1.7	5
NAA11	NAA11	16 / 716	1.1	2
ARD1A	Invalid identifier / gene not available			
TRAPPC1	TRAPPC1	 / 716	0	
UTP18	UTP18	64 / 716	2.3	12
PABPN1	PABPN1	206 / 716	2.6	11
RPL10A	RPL10A	280 / 716	7.6	44
CCT2	CCT2	428 / 716	19.3	245
ALDOC	ALDOC	92 / 716	2.5	13
PSMA5	PSMA5	187 / 716	3.7	13
RPL19	RPL19	458 / 716	3.3	64
DARS	DARS	271 / 716	6.6	35
DKFZP781B11202	Invalid identifier / gene not available			
RPL28	RPL28	316 / 716	6.4	64
DDX52	DDX52	101 / 716	2.1	8
PSMB3	PSMB3	136 / 716	3.7	13
RPS6	RPS6	466 / 716	6.6	55
WDR33	WDR33	117 / 716	4.3	43
HNRNPUL2	HNRNPUL2	135 / 716	4.2	96
HCG_2044799	Invalid identifier / gene not available			
U2AF2	U2AF2	231 / 716	4.5	27
FHL1	FHL1	177 / 716	2.2	13
CRYZ	CRYZ	35 / 716	1.3	4
WBP11	WBP11	131 / 716	5.5	42
HIST1H1D	HIST1H1D	600 / 716	11.2	78
HIST1H1E	HIST1H1E	605 / 716	13.1	125
HIST1H1C	HIST1H1C	614 / 716	14.3	127
ILF2	ILF2	313 / 716	9.3	70
HNRNPL	HNRNPL	460 / 716	12.4	212
RPS25	RPS25	356 / 716	6.4	38
RPS11	RPS11	340 / 716	5.6	25
AHNAK	AHNAK	212 / 716	206	3211
SEC24A	SEC24A	37 / 716	1.7	5
EWSR1	EWSR1	301 / 716	17.1	362
PSMD12	PSMD12	221 / 716	3.6	15
RPL38	RPL38	300 / 716	8.4	58
WASF2	WASF2	103 / 716	3	30
AP3B1	AP3B1	139 / 716	3.3	11
PSMA4	PSMA4	188 / 716	4.2	28
RPL12	RPL12	397 / 716	5.8	28
HCG_21173	Invalid identifier / gene not available			
RPA1	RPA1	242 / 716	5.7	38
ZC3H14	ZC3H14	145 / 716	7.4	35
RPL18	RPL18	399 / 716	5.6	59
DNAH2	DNAH2	1 / 716	1	1
RPL39	RPL39	162 / 716	2.4	10
RPL39P5	RPL39P5	162 / 716	2.4	10
SF3B1	SF3B1	361 / 716	26.9	216
RPL18A	RPL18A	300 / 716	5.6	37
RPL22	RPL22	429 / 716	3.6	31
RPL4	RPL4	444 / 716	10.4	82
TCOF1	TCOF1	332 / 716	28.4	282
PSMC2	PSMC2	313 / 716	5.1	36
RPS16	RPS16	411 / 716	7.2	42
PRDX1	PRDX1	549 / 716	12.2	75
EIF4A1	EIF4A1	479 / 716	12.6	89
EIF4A2	EIF4A2	461 / 716	7.4	37
SBDS	SBDS	33 / 716	1.5	5
PSMA6	PSMA6	193 / 716	4.4	14
THOC5	THOC5	56 / 716	3	21
GPI	GPI	141 / 716	6.9	64
EIF2S1	EIF2S1	240 / 716	2.9	17
CCT6A	CCT6A	413 / 716	14	145
U2SURP	U2SURP	262 / 716	15.4	132
RPL6	RPL6	432 / 716	11.3	219
IMPDH2	IMPDH2	195 / 716	3.5	29
RPS23	RPS23	413 / 716	5.1	30
RPL9	RPL9	390 / 716	6.5	80
RPL9	RPL9	390 / 716	6.5	80
RPL9	RPL9	390 / 716	6.5	80
RPL9	RPL9	390 / 716	6.5	80
LMNB2	LMNB2	156 / 716	5	54
NACA	NACA	302 / 716	3.2	14
HCG_2016482	Invalid identifier / gene not available			
PIN4	PIN4	144 / 716	9	41
EIF2S2	EIF2S2	176 / 716	2.1	8
RPS4X	RPS4X	451 / 716	10	60
RPS4Y1	RPS4Y1	326 / 716	5.3	26
RPL3	RPL3	402 / 716	9.2	135
RPL3	RPL3	402 / 716	9.2	135
POLR2E	POLR2E	143 / 716	2.3	16
RPL8	RPL8	390 / 716	5.4	42
SF3B3	SF3B3	322 / 716	13	210
MCM2	MCM2	173 / 716	7.5	69
CCT5	CCT5	457 / 716	15.8	120
TRAPPC4	TRAPPC4	 / 716	0	
RALY	RALY	116 / 716	3.6	20
EIF3F	EIF3F	272 / 716	4.3	26
CSTF2	CSTF2	188 / 716	4	26
QARS	QARS	291 / 716	6.1	48
SKP1	SKP1	311 / 716	2.8	63
RPL14	RPL14	333 / 716	4.1	34
KHDRBS1	KHDRBS1	348 / 716	4.2	53
HNRNPC	HNRNPC	444 / 716	9.3	59
HCG_1641229	Invalid identifier / gene not available			
HNRNPCL1	HNRNPCL1	377 / 716	4.6	25
PA2G4	PA2G4	260 / 716	7.7	59
LTV1	LTV1	137 / 716	2.7	9
CSTF3	CSTF3	78 / 716	2.8	31
EIF4A3	EIF4A3	418 / 716	6.3	44
THRAP3	THRAP3	382 / 716	21.9	168
RPLP1	RPLP1	378 / 716	3.4	39
EXOSC9	EXOSC9	171 / 716	2.2	7
PRPF6	PRPF6	180 / 716	5.3	31
RPL30	RPL30	255 / 716	4.6	25
DDX47	DDX47	96 / 716	3.1	22
E4-DBP	Invalid identifier / gene not available			
CCT8	CCT8	451 / 716	36.7	267
ABCE1	ABCE1	121 / 716	3.6	18
PSMD6	PSMD6	187 / 716	3.8	16
CWF19L1	CWF19L1	28 / 716	1.3	4
RBM4	RBM4	82 / 716	2.5	10
RBM4B	RBM4B	63 / 716	2.5	8
FAU	FAU	320 / 716	4	29
ARPC2	ARPC2	71 / 716	4.4	37
LARP7	LARP7	92 / 716	2.5	18
RPS19	RPS19	334 / 716	8.3	61
AIMP1	AIMP1	163 / 716	4.1	16
PSMC6	PSMC6	179 / 716	4.2	27
PRMT1	PRMT1	262 / 716	5	30
HRMT1L2	Invalid identifier / gene not available			
WDR36	WDR36	132 / 716	8.9	46
DKFZP686I1650	Invalid identifier / gene not available			
TKT	TKT	168 / 716	7.5	66
RPL26	RPL26	312 / 716	5.3	24
PSMD8	PSMD8	134 / 716	2.3	8
RPS14	RPS14	514 / 716	5.4	30
DHX16	DHX16	112 / 716	2.3	13
ENPP5	ENPP5	 / 716	0	
ACIN1	ACIN1	206 / 716	25.7	131
DKFZP667N107	Invalid identifier / gene not available			
C14ORF166	C14ORF166	250 / 716	3.8	16
PSMA3	PSMA3	173 / 716	3.8	20
SF3A1	SF3A1	313 / 716	11.5	74
PRPF8	PRPF8	339 / 716	18.8	138
UGP2	UGP2	14 / 716	1.9	7
DDX55	DDX55	81 / 716	2.1	7
EXOSC3	EXOSC3	137 / 716	1.8	9
PNAS-3	Invalid identifier / gene not available			
GTPBP1	GTPBP1	47 / 716	1.5	5
CSNK1A1	CSNK1A1	70 / 716	2.5	12
CSNK1A1L	CSNK1A1L	53 / 716	1.6	5
DISC1	DISC1	37 / 716	1.3	3
FASN	FASN	436 / 716	91.3	743
CROCC	CROCC	36 / 716	1.4	6
AKR1B1	AKR1B1	72 / 716	3.9	20
ALKBH5	ALKBH5	46 / 716	1.3	5
RPF2	RPF2	53 / 716	2.7	13
BXDC1	Invalid identifier / gene not available			
MAGOHB	MAGOHB	83 / 716	3.6	19
MAGOH	MAGOH	78 / 716	3.7	18
RPS8	RPS8	498 / 716	7.6	46
SF3A3	SF3A3	229 / 716	4.8	32
RAB12	RAB12	130 / 716	1.5	6
GPS1	GPS1	67 / 716	1.7	6
ALDOA	ALDOA	301 / 716	11.2	77
ERC1	ERC1	115 / 716	5.6	27
ATP6AP2	ATP6AP2	5 / 716	1.2	2
KIAA1967	Invalid identifier / gene not available			
PCBP1	PCBP1	472 / 716	8.1	101
IGF2BP3	IGF2BP3	288 / 716	5.2	34
RBMX	RBMX	377 / 716	7.5	71
RBMXL1	RBMXL1	356 / 716	5.3	55
PPP1CB	PPP1CB	323 / 716	5.3	32
TIAL1	TIAL1	94 / 716	6.7	19
TIA1	TIA1	83 / 716	5.5	16
HNRNPH1	HNRNPH1	558 / 716	13.5	224
DKFZP686A15170	Invalid identifier / gene not available			
PACSIN2	PACSIN2	21 / 716	1.3	3
FAM50A	FAM50A	97 / 716	2.2	13
CPSF3	CPSF3	173 / 716	5.8	22
HCG_1994130	Invalid identifier / gene not available			
RPS15A	RPS15A	401 / 716	5.7	34
DHX36	DHX36	78 / 716	2.2	20
HNRNPA3	HNRNPA3	447 / 716	6.6	49
HNRPA3	Invalid identifier / gene not available			
D10S102	Invalid identifier / gene not available			
NIPAL1	NIPAL1	 / 716	0	
KIN	KIN	9 / 716	1.8	3
ETF1	ETF1	167 / 716	3.1	11
UPF1	UPF1	117 / 716	4	44
DIS3	DIS3	114 / 716	2.1	10
SPATA18	SPATA18	4 / 716	1.3	2
RPL15	RPL15	365 / 716	7.2	43
PSMD3	PSMD3	269 / 716	6.3	34
RPS2	RPS2	447 / 716	8.8	68
RPS2	RPS2	447 / 716	8.8	68
GIGYF2	GIGYF2	156 / 716	26.2	91
TBL3	TBL3	101 / 716	3.4	26
PSMD2	PSMD2	271 / 716	7.6	52
DKFZP564A2282	Invalid identifier / gene not available			
RPL37A	RPL37A	200 / 716	3.2	19
TH1L	TH1L	51 / 716	5.5	29
AAAS	AAAS	65 / 716	1.5	5
PAK1IP1	PAK1IP1	23 / 716	3	8
ILF3	ILF3	379 / 716	10.1	99
SNRNP200	SNRNP200	333 / 716	18.3	126
ABCE1	ABCE1	121 / 716	3.6	18
XRCC6	XRCC6	388 / 716	11.7	74
EEF1A1	EEF1A1	653 / 716	30	239
EEF1A1P5	EEF1A1P5	653 / 716	29.6	232
EEF1A1L14	Invalid identifier / gene not available			
PTI-1	Invalid identifier / gene not available			
STRBP	STRBP	186 / 716	2.4	15
MSN	MSN	230 / 716	4.4	51
EIF3CL	EIF3CL	274 / 716	5.4	26
EIF3C	EIF3C	274 / 716	5.6	28
HNRNPR	HNRNPR	422 / 716	9.1	176
HNRPR	Invalid identifier / gene not available			
DKFZP686A13234	Invalid identifier / gene not available			
CNBP	CNBP	37 / 716	6.1	54
SDAD1	SDAD1	49 / 716	2.8	16
TARDBP	TARDBP	324 / 716	3.4	64
SFRS3	Invalid identifier / gene not available			
SRSF3	SRSF3	392 / 716	5.3	42
KRR1	KRR1	76 / 716	1.9	8
CPSF7	CPSF7	154 / 716	3	25
HUWE1	HUWE1	204 / 716	7	98
HNRNPA2B1	HNRNPA2B1	536 / 716	16.8	102
RPL36AL	RPL36AL	203 / 716	3.5	19
LUC7L2	LUC7L2	332 / 716	11.6	106
RPS9	RPS9	388 / 716	6.7	32
PRKDC	PRKDC	406 / 716	30.5	171
EEF2	EEF2	488 / 716	20.8	223
DDX50	DDX50	344 / 716	4.3	24
DNAJA2	DNAJA2	210 / 716	3.3	29
PRPF19	PRPF19	262 / 716	8.1	48
PAICS	PAICS	322 / 716	6.5	52
SF3B4	SF3B4	198 / 716	2.9	13
SNRPF	SNRPF	244 / 716	2	13
ZC3H15	ZC3H15	149 / 716	3.1	17
RPS7	RPS7	368 / 716	8.6	48
CUL1	CUL1	81 / 716	3.5	19
STAU1	STAU1	228 / 716	5.9	21
PUF60	PUF60	307 / 716	18.5	124
CSNK2A1	CSNK2A1	150 / 716	3.7	25
HCG_21984	Invalid identifier / gene not available			
BRIX1	BRIX1	178 / 716	3.3	22
BXDC2	Invalid identifier / gene not available			
BRIX	Invalid identifier / gene not available			
TEX10	TEX10	115 / 716	3.7	29
PSMA2	PSMA2	193 / 716	4.2	16
WDR77	WDR77	250 / 716	43.2	1172
GFPT1	GFPT1	62 / 716	2.1	16
RPS13	RPS13	311 / 716	5.3	21
YBX1	YBX1	448 / 716	8.6	100
RRS1	RRS1	93 / 716	6.6	35
DRG1	DRG1	172 / 716	3.4	18
EIF3E	EIF3E	209 / 716	4.4	32
EIF3S6	Invalid identifier / gene not available			
PHF5A	PHF5A	133 / 716	2.1	6
POLDIP3	POLDIP3	247 / 716	4.5	30
DKFZP434G0310	Invalid identifier / gene not available			
FAM98B	FAM98B	113 / 716	2.3	10
DHX9	DHX9	470 / 716	21.4	163
NCKAP1	NCKAP1	94 / 716	7.4	128
RPL26L1	RPL26L1	307 / 716	4.6	18
RPS3A	RPS3A	434 / 716	8.6	56
PSMD13	PSMD13	160 / 716	3.8	16
RNPS1	RNPS1	242 / 716	3.9	22
EIF4G2	EIF4G2	119 / 716	7.1	46
AAG1	Invalid identifier / gene not available			
EIF2A	EIF2A	90 / 716	4.3	18
PRMT3	PRMT3	33 / 716	2.1	6
ALYREF	ALYREF	390 / 716	11.7	109
CPSF1	CPSF1	139 / 716	9.3	52
SRRM2	SRRM2	324 / 716	19.7	303
KIAA0324	Invalid identifier / gene not available			
DAZAP1	DAZAP1	159 / 716	4.1	19
DAZAP1/MEF2D	Invalid identifier / gene not available			
FUSION	Invalid identifier / gene not available			
EIF3D	EIF3D	249 / 716	3.1	21
U2AF1	U2AF1	351 / 716	3.5	16
U2AF1L4	U2AF1L4	283 / 716	2	9
SRSF6	SRSF6	326 / 716	3.9	53
SRSF2	SRSF2	293 / 716	4.2	23
SFRS2	Invalid identifier / gene not available			
SRSF8	SRSF8	204 / 716	2.2	8
RRBP1	RRBP1	172 / 716	7	146
MKI67IP	Invalid identifier / gene not available			
IGF2BP2	IGF2BP2	257 / 716	3.4	49
SENP3	SENP3	136 / 716	1.7	6
GRWD1	GRWD1	160 / 716	2.3	9
DKFZP564C172	Invalid identifier / gene not available			
PRKRA	PRKRA	58 / 716	2.4	7
ANXA2	ANXA2	398 / 716	9.2	82
ANXA2P2	ANXA2P2	380 / 716	7	54
GTPBP4	GTPBP4	186 / 716	4.1	21
EEFSEC	EEFSEC	7 / 716	1	1
ACACA	ACACA	296 / 716	315.2	3552
PFKM	PFKM	126 / 716	2	8
ZNF598	ZNF598	92 / 716	2	19
HNRNPA0	HNRNPA0	405 / 716	4.9	31
HNRNPH3	HNRNPH3	239 / 716	8	77
PSMC5	PSMC5	294 / 716	6.2	54
PTBP1	PTBP1	438 / 716	10.2	110
IGF2BP1	IGF2BP1	343 / 716	7.4	48
RPS3	RPS3	491 / 716	15.7	75
SNW1	SNW1	191 / 716	7.9	51
RPL11	RPL11	495 / 716	4.7	23
PRPF40A	PRPF40A	195 / 716	5.4	35
LAS1L	LAS1L	108 / 716	3	13
RPS5	RPS5	321 / 716	5.5	25
GPATCH8	GPATCH8	86 / 716	2.4	9
HNRPDL	Invalid identifier / gene not available			
ZNF207	ZNF207	92 / 716	1.3	4
DKFZP761N202	Invalid identifier / gene not available			
DDX3X	DDX3X	498 / 716	15.5	89
DDX3Y	DDX3Y	480 / 716	9.8	66
QKI	QKI	25 / 716	2.1	15
NOC3L	NOC3L	122 / 716	3.4	13
RPL32	RPL32	184 / 716	4.2	37
DIMT1	DIMT1	51 / 716	2.3	9
RPS12	RPS12	382 / 716	7	51
TOE1	TOE1	31 / 716	6.1	21
RPS20	RPS20	383 / 716	4.9	22
RBM14	RBM14	293 / 716	9.7	79
RPS6KA1	RPS6KA1	19 / 716	1.4	3
RPS6KA3	RPS6KA3	19 / 716	1.4	4
CPSF6	CPSF6	299 / 716	5.3	28
RPSAP58	Invalid identifier / gene not available			
RPSA	RPSA	335 / 716	7.3	66
