"","Gene_name","Protein_name","Protein_ID","Fold_change","P_value"
"822","TUBG1","Tubulin gamma-1 chain","P23258",1.62696266967745,0.39209059
"823","MRPL39","39S ribosomal protein L39, mitochondrial","Q9NYK5",1.4546909818598,0.27119502
"824","PPIF","Peptidyl-prolyl cis-trans isomerase F, mitochondrial","P30405",0.690582005419949,0.26811481
"825","DLD","Dihydrolipoyl dehydrogenase, mitochondrial","P09622",0.73939074085122,0.21412286
"826","IVD","Isovaleryl-CoA dehydrogenase, mitochondrial","P26440",1.35348300938432,0.21521577
"827","PRMT3","Protein arginine N-methyltransferase 3","O60678",0.646813501063528,0.33489674
"828","ABCE1","ATP-binding cassette sub-family E member 1","P61221",0.609817443379804,0.40751845
"829","CKB","Creatine kinase B-type","P12277",1.4216241642541,0.25375277
"830","PDE4D","cAMP-specific 3,5-cyclic phosphodiesterase 4D","Q08499",0.638412971703018,0.35028771
"831","FECH","Ferrochelatase, mitochondrial","P22830",0.664061102663557,0.30986193
"832","NVL","Nuclear valosin-containing protein-like","O15381",0.711734233647503,0.24641791
"833","RPL26","60S ribosomal protein L26","P61254",1.32614179473169,0.20561859
"834","HSPD1","60 kDa heat shock protein, mitochondrial","P10809",1.80583467356737,0.57421511
"835","ABHD17B","Alpha/beta hydrolase domain-containing protein 17B","Q5VST6",1.59247737568102,0.37866342
"836","STARD7","StAR-related lipid transfer protein 7, mitochondrial","Q9NQZ5",0.652980673933846,0.33280078
"837","CAPZB","F-actin-capping protein subunit beta","P47756",1.55110631101553,0.34800473
"838","SLC16A1","Monocarboxylate transporter 1","P53985",0.630648093156139,0.37548959
"839","FARSA","Phenylalanine--tRNA ligase alpha subunit","Q9Y285",1.56359915030292,0.3587254
"840","TPP2","Tripeptidyl-peptidase 2","P29144",0.706569725817932,0.25900161
"841","RPL29","60S ribosomal protein L29","P47914",0.6700545416722,0.31065992
"842","KIF5B","Kinesin-1 heavy chain","P33176",0.722990111683102,0.24262099
"843","SMC4","Structural maintenance of chromosomes protein 4","Q9NTJ3",1.40163722374527,0.25551769
"844","S100A7","Protein S100-A7","P31151",1.62335066130766,0.41634443
"845","BCAS1","Breast carcinoma-amplified sequence 1","O75363",0.714548161492916,0.25462466
"846","TAF15","TATA-binding protein-associated factor 2N","Q92804",0.693981053618787,0.28247643
"847","SEC61A1","Protein transport protein Sec61 subunit alpha isoform 1","P61619",0.639337225706255,0.37251127
"848","GNAI3","Guanine nucleotide-binding protein G(k) subunit alpha","P08754",0.666241616987783,0.32493868
"849","SLC7A5","Large neutral amino acids transporter small subunit 1","Q01650",1.68795675385486,0.48081118
"850","TGM3","Protein-glutamine gamma-glutamyltransferase E","Q08188",1.4946225549895,0.32148817
"851","EIF6","Eukaryotic translation initiation factor 6","P56537",0.667369472667009,0.32658789
"852","HNRNPF","Heterogeneous nuclear ribonucleoprotein F","P52597",0.727497409130507,0.24548288
"853","UBAP2L","Ubiquitin-associated protein 2-like","Q14157",1.48954162321645,0.32250872
"854","SPG21","Maspardin","Q9NZD8",1.45274524906132,0.2991212
"855","SLC25A24","Calcium-binding mitochondrial carrier protein SCaMC-1","Q6NUK1",1.44153106422603,0.29185948
"856","TMEM181","Transmembrane protein 181","Q9P2C4",0.736146849302391,0.24087502
"857","GOT2","Aspartate aminotransferase, mitochondrial","P00505",0.743385761795145,0.23433776
"858","CPM","Carboxypeptidase M","P14384",0.689570226625886,0.30205742
"859","LCN2","Neutrophil gelatinase-associated lipocalin","P80188",0.750844012966115,0.22821231
"860","PPP2R2A","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform","P63151",0.672547641117649,0.32970598
"861","PLGRKT","Plasminogen receptor (KT)","Q9HBL7",0.671003020894915,0.33233246
"862","NSL1","Kinetochore-associated protein NSL1 homolog","Q96IY1",0.713246743134535,0.27189112
"863","FLOT1","Flotillin-1","O75955",0.766027914493966,0.21481115
"864","LDHB","L-lactate dehydrogenase B chain","P07195",1.31426253040411,0.22069263
"865","PAICS","Multifunctional protein ADE2","P22234",1.48098864600172,0.33049858
"866","UTP18","U3 small nucleolar RNA-associated protein 18 homolog","Q9Y5J1",0.751999991152558,0.23118995
"867","TUBA4A","Tubulin alpha-4A chain","P68366",1.64692850300676,0.47269338
"868","PRCP","Lysosomal Pro-X carboxypeptidase","P42785",0.628032056243014,0.42370653
"869","ATP6V1E1","V-type proton ATPase subunit E 1","P36543",0.700966474987272,0.29475084
"870","SCO2","Protein SCO2 homolog, mitochondrial","O43819",0.795377314474466,0.19405027
"871","CHD3","Chromodomain-helicase-DNA-binding protein 3","Q12873",1.21458561656911,0.17334655
"872","SLC38A2","Sodium-coupled neutral amino acid transporter 2","Q96QD8",0.798077298720228,0.19243839
"873","MAZ","Myc-associated zinc finger protein","P56270",0.642135935851452,0.39837861
"874","TFB2M","Dimethyladenosine transferase 2, mitochondrial","Q9H5Q4",0.718292197226048,0.27473974
"875","RRP15","RRP15-like protein","Q9Y3B9",0.707864361089497,0.28849962
"876","TM4SF1","Transmembrane 4 L6 family member 1","P30408",0.744548658340453,0.24411538
"877","HTRA1","Serine protease HTRA1","Q92743",1.76211909808011,0.60178244
"878","SF3A3","Splicing factor 3A subunit 3","Q12874",0.695535736821998,0.30632037
"879","CBX5","Chromobox protein homolog 5","P45973",0.696344741669178,0.30620688
"880","DDX18","ATP-dependent RNA helicase DDX18","Q9NVP1",0.729823809153798,0.2622453
"881","PTBP1","Polypyrimidine tract-binding protein 1","P26599",0.77899289922716,0.21123341
"882","TUBA1C","Tubulin alpha-1C chain","Q9BQE3",1.63484843080435,0.47164461
"883","HSPA9","Stress-70 protein, mitochondrial","P38646",0.593299376718959,0.52243561
"884","SEMG2","Semenogelin-2","Q02383",0.709339409241763,0.28994539
"885","BAG3","BAG family molecular chaperone regulator 3","O95817",0.683552157587488,0.32810077
"886","TMEM209","Transmembrane protein 209","Q96SK2",0.664456094969479,0.36156228
"887","SLC25A6;SLC25A4;SLC25A5","ADP/ATP translocase 3, N-terminally processed","P12235",0.636785374343967,0.41686326
"888","RUFY1","RUN and FYVE domain-containing protein 1","Q96T51",1.37906666127292,0.27175382
"889","TMEM11","Transmembrane protein 11, mitochondrial","P17152",0.63512773902785,0.42242599
"890","SLC25A5","ADP/ATP translocase 1","P05141",1.50580449433891,0.36616495
"891","NDUFAF2","Mimitin, mitochondrial","Q8N183",0.689585672407733,0.32638758
"892","SLTM","SAFB-like transcription modulator","Q9NWH9",0.685808836860574,0.33297721
"893","GTPBP4","Nucleolar GTP-binding protein 1","Q9BZE4",0.680868063827817,0.34129837
"894","MRPS18A","28S ribosomal protein S18a, mitochondrial","Q9NVS2",0.678747467488812,0.34511098
"895","MAGOHB","Protein mago nashi homolog 2","Q96A72",1.40289512009375,0.29452136
"896","SEC24A","Protein transport protein Sec24A","O95486",0.672428802605701,0.36019081
"897","FXR1","Fragile X mental retardation syndrome-related protein 1","P51114",1.42378386929251,0.31286374
"898","PSMD8","26S proteasome non-ATPase regulatory subunit 8","P48556",1.39136413387794,0.29040739
"899","NTHL1","Endonuclease III-like protein 1","P78549",0.643846956607846,0.4192186
"900","NAPA","Alpha-soluble NSF attachment protein","P54920",0.686283272986836,0.33938193
"901","HSP90B1","Endoplasmin","P14625",1.75447005084553,0.63108355
"902","RPS8","40S ribosomal protein S8","P62241",1.52729525114478,0.39999077
"903","ETFB","Electron transfer flavoprotein subunit beta","P38117",0.681373791326529,0.35082445
"904","TIMM17A","Mitochondrial import inner membrane translocase subunit Tim17-A","Q99595",0.708882176688287,0.30953732
"905","ACADM","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial","P11310",0.763992921326611,0.24140537
"906","CWC15","Spliceosome-associated protein CWC15 homolog","Q9P013",1.44505977202966,0.33560935
"907","CCT4","T-complex protein 1 subunit delta","P50991",0.728329327066964,0.28333756
"908","SLC7A1","High affinity cationic amino acid transporter 1","P30825",0.732473458531288,0.27871412
"909","MAP7","Ensconsin","Q14244",1.51089435627162,0.39165467
"910","EMC4","ER membrane protein complex subunit 4","Q5J8M3",0.757435610246017,0.25145087
"911","NDUFB6","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6","O95139",0.728466408710514,0.28640741
"912","APIP","Methylthioribulose-1-phosphate dehydratase","Q96GX9",0.62034906393137,0.4884336
"913","ARPC1A","Actin-related protein 2/3 complex subunit 1A","Q92747",0.760382983582616,0.24881065
"914","MCCC2","Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial","Q9HCC0",0.693249754564956,0.3389214
"915","NDUFB11","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial","Q9NX14",0.733459945761922,0.28185683
"916","RPL28","60S ribosomal protein L28","P46779",0.716016875552689,0.30576378
"917","SUGT1","Suppressor of G2 allele of SKP1 homolog","Q9Y2Z0",1.26753035230709,0.22254321
"918","TPP1","Tripeptidyl-peptidase 1","O14773",0.782786550035022,0.22887458
"919","TBRG4","Protein TBRG4","Q969Z0",0.729207656226359,0.28972647
"920","POLR2A","DNA-directed RNA polymerase II subunit RPB1","P24928",0.73939585084733,0.27702782
"921","DNASE2","Deoxyribonuclease-2-alpha","O00115",1.19984781474228,0.18653749
"922","TUBB4A","Tubulin beta-4B chain","P68371",0.859247267674672,0.16857958
"923","AK3","GTP:AMP phosphotransferase AK3, mitochondrial","Q9UIJ7",1.51584765814921,0.40790051
"924","MANBAL","Protein MANBAL","Q9NQG1",0.684459811736799,0.36215001
"925","STAG2","Cohesin subunit SA-2","Q8N3U4",0.802398716322636,0.21458571
"926","BDH1","D-beta-hydroxybutyrate dehydrogenase, mitochondrial","Q02338",0.677678390053682,0.3778381
"927","UCHL5","Ubiquitin carboxyl-terminal hydrolase isozyme L5","Q9Y5K5",0.767833621052993,0.25059855
"928","FLNC","Filamin-C","Q14315",1.29971997066734,0.24902034
"929","SEC24C","Protein transport protein Sec24C","P53992",1.50388339864045,0.40460271
"930","PSMA7","Proteasome subunit alpha type-7","O14818",0.67578165608152,0.38504761
"931","PABPN1","Polyadenylate-binding protein 2","Q86U42",0.661848236673546,0.41320652
"932","NUP107","Nuclear pore complex protein Nup107","P57740",0.642011531332984,0.45723635
"933","TPI1","Triosephosphate isomerase","P60174",1.48212808862547,0.38773215
"934","GSTM3","Glutathione S-transferase Mu 3","P21266",1.42029095534653,0.33885866
"935","FADS2","Fatty acid desaturase 2","O95864",0.736952138876498,0.29187214
"936","RSF1","Remodeling and spacing factor 1","Q96T23",0.824972316302476,0.20119368
"937","ACTR3","Actin-related protein 3","P61158",1.62116729548255,0.52995741
"938","SP1","Transcription factor Sp1","P08047",0.685409205737109,0.37432525
"939","CFL1","Cofilin-1","P23528",0.729525489096245,0.30429906
"940","BANF1","Barrier-to-autointegration factor","O75531",0.6780332368837,0.38882476
"941","ATP5F1","ATP synthase F(0) complex subunit B1, mitochondrial","P24539",1.45711501261435,0.37354371
"942","FRG1","Protein FRG1","Q14331",0.714319178186675,0.32727799
"943","ECE1","Endothelin-converting enzyme 1","P42892",1.43910372544218,0.35924685
"944","PDIA6","Protein disulfide-isomerase A6","Q15084",1.57332218111709,0.4833622
"945","MRPL23","39S ribosomal protein L23, mitochondrial","Q16540",0.715429333737228,0.32794222
"946","THEM6","Protein THEM6","Q8WUY1",1.3889066496677,0.32150251
"947","SCP2","Non-specific lipid-transfer protein","P22307",0.673930643552682,0.40057784
"948","B2M","Beta-2-microglobulin","P61769",0.720919336283361,0.32082519
"949","DARS","Aspartate--tRNA ligase, cytoplasmic","P14868",1.49215495538289,0.40994534
"950","RABGAP1L","Rab GTPase-activating protein 1-like, isoform 10","B7ZAP0",1.35205651540231,0.29636437
"951","PDCD6IP","Programmed cell death 6-interacting protein","Q8WUM4",0.792863295709987,0.23630333
"952","ADD1","Alpha-adducin","P35611",0.746197368888,0.28935891
"953","VAPB","Vesicle-associated membrane protein-associated protein B/C","O95292",1.63675155032549,0.56506568
"954","TXLNA","Alpha-taxilin","P40222",0.759225307445633,0.27478915
"955","ATP6V1A","V-type proton ATPase catalytic subunit A","P38606",1.50286392092807,0.42652714
"956","TGM1","Protein-glutamine gamma-glutamyltransferase K","P22735",1.3376948077133,0.28994566
"957","SNAPIN","SNARE-associated protein Snapin","O95295",1.35245913634069,0.30143359
"958","CDH2","Cadherin-2","P19022",0.770236140038406,0.26323068
"959","SIAH1","E3 ubiquitin-protein ligase SIAH1","Q8IUQ4",1.3750113362533,0.31945974
"960","TMCO1","Transmembrane and coiled-coil domain-containing protein 1","Q9UM00",0.675280021156214,0.41064429
"961","PPT1","Palmitoyl-protein thioesterase 1","P50897",0.73404815167753,0.31191146
"962","ARPC3","Actin-related protein 2/3 complex subunit 3","O15145",1.44714165060626,0.38158602
"963","SPRYD7","SPRY domain-containing protein 7","Q5W111",1.34551573584672,0.30110976
"964","GAA","Lysosomal alpha-glucosidase","P10253",0.792447762844346,0.2435396
"965","PRSS21","Testisin","Q9Y6M0",0.643570868733788,0.4869943
"966","CCT5","T-complex protein 1 subunit epsilon","P48643",0.740836162356065,0.30575958
"967","GOLGA2","Golgin subfamily A member 2","Q08379",0.674472382262521,0.41796106
"968","VPS37A","Vacuolar protein sorting-associated protein 37A","Q8NEZ2",0.702354349946927,0.36555171
"969","MPRIP","Myosin phosphatase Rho-interacting protein","Q6WCQ1",0.678410402294211,0.41372964
"970","CLINT1","Clathrin interactor 1","Q14677",0.791805974494403,0.24764942
"971","SMEK1","Serine/threonine-protein phosphatase 4 regulatory subunit 3A","Q6IN85",0.730053758606108,0.3246344
"972","MRPS12","28S ribosomal protein S12, mitochondrial","O15235",0.710613553736257,0.35559702
"973","EBNA1BP2","Probable rRNA-processing protein EBP2","Q99848",1.29391422004326,0.27007124
"974","ACTG1","Actin, cytoplasmic 2","P63261",0.749727369926095,0.30012903
"975","RECQL","ATP-dependent DNA helicase Q1","P46063",1.39812152152848,0.35167393
"976","RCC1","Regulator of chromosome condensation","P18754",0.727906654111588,0.33555052
"977","SET","Protein SET","Q01105",0.732644931136218,0.32858241
"978","SEC13","Protein SEC13 homolog","P55735",1.44783850425815,0.40020609
"979","BOP1","Ribosome biogenesis protein BOP1","Q14137",1.43016939767804,0.38466591
"980","MRPS28","28S ribosomal protein S28, mitochondrial","Q9Y2Q9",0.755410889235629,0.30002332
"981","CTSB","Cathepsin B","P07858",1.37337008300965,0.33937564
"982","TOMM22","Mitochondrial import receptor subunit TOM22 homolog","Q9NS69",0.742959836619182,0.31774452
"983","ACOT1","Acyl-coenzyme A thioesterase 1","Q86TX2",0.72685670023402,0.34222409
"984","COL5A1","Collagen alpha-1(V) chain","P20908",0.619943642245612,0.58055878
"985","ANXA2","Annexin A2","P07355",0.813574257379765,0.23700245
"986","UBXN4","UBX domain-containing protein 4","Q92575",1.31652636403783,0.29873854
"987","DERL2","Derlin-2","Q9GZP9",1.31345415433762,0.29837701
"988","UBE2G2","Ubiquitin-conjugating enzyme E2 G2","P60604",1.24214331745409,0.24843983
"989","KHDRBS1","KH domain-containing, RNA-binding, signal transduction-associated protein 1","Q07666",1.61106806339898,0.58975959
"990","NDUFV1","NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial","P49821",0.754094346313666,0.31007573
"991","NME3","Nucleoside diphosphate kinase 3","Q13232",0.838354020264941,0.21826607
"992","GALNT7","N-acetylgalactosaminyltransferase 7","Q86SF2",0.780356024728328,0.27710074
"993","MRPL45","39S ribosomal protein L45, mitochondrial","Q9BRJ2",0.712085147742192,0.37771744
"994","MBOAT7","Lysophospholipid acyltransferase 7","Q96N66",0.746982592765772,0.32237136
"995","APMAP","Adipocyte plasma membrane-associated protein","Q9HDC9",0.657717141583916,0.49343279
"996","TBC1D15","TBC1 domain family member 15","Q8TC07",0.683755037310565,0.43409577
"997","PSMD14","26S proteasome non-ATPase regulatory subunit 14","O00487",0.786384707808094,0.2733894
"998","OXSM","3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial","Q9NWU1",0.813813993825146,0.24404883
"999","METTL2B","Methyltransferase-like protein 2B","Q6P1Q9",0.671217652919472,0.46320552
"1000","VMP1","Vacuole membrane protein 1","Q96GC9",0.735177683171378,0.34450388
"1001","TRA2B","Transformer-2 protein homolog beta","P62995",0.723111941478622,0.36486554
"1002","FDFT1","Squalene synthase","P37268",1.20207289011832,0.23036018
"1003","PBX2","Pre-B-cell leukemia transcription factor 2","P40425",0.737761357766359,0.34407222
"1004","RAC1","Ras-related C3 botulinum toxin substrate 1","P63000",0.707330679898797,0.39677158
"1005","MARCKS","Myristoylated alanine-rich C-kinase substrate","P29966",0.710013177311432,0.3927846
"1006","MRPL2","39S ribosomal protein L2, mitochondrial","Q5T653",0.805731513964122,0.2582005
"1007","SLC16A3","Monocarboxylate transporter 4","O15427",0.683691835332708,0.44790646
"1008","DHODH","Dihydroorotate dehydrogenase (quinone), mitochondrial","Q02127",0.746900270064537,0.33399382
"1009","VIM","Vimentin","P08670",0.677799233628345,0.46300671
"1010","P4HB","Protein disulfide-isomerase","P07237",1.63535626450158,0.65182662
"1011","LYZ","Lysozyme C","P61626",1.49891262114879,0.48839611
"1012","COX5A","Cytochrome c oxidase subunit 5A, mitochondrial","P20674",0.746741103201447,0.33592328
"1013","GOLT1B","Vesicle transport protein GOT1B","Q9Y3E0",0.723802513885738,0.37270698
"1014","PLEC","Plectin","Q15149",1.51590030262504,0.50757861
"1015","SRSF3","Serine/arginine-rich splicing factor 3","P84103",1.42862144543973,0.41926101
"1016","TECR","Very-long-chain enoyl-CoA reductase","Q9NZ01",0.632107555962618,0.58923656
"1017","PFDN2","Prefoldin subunit 2","Q9UHV9",0.779019422755803,0.29437691
"1018","YTHDC1","YTH domain-containing protein 1","Q96MU7",1.33527884620254,0.33719835
"1019","NUDT19","Nucleoside diphosphate-linked moiety X motif 19, mitochondrial","A8MXV4",0.752222149237177,0.33383179
"1020","TXNRD1","Thioredoxin reductase 1, cytoplasmic","Q16881",0.835915602621793,0.23536462
"1021","MRPS17","28S ribosomal protein S17, mitochondrial","Q9Y2R5",0.757807492988595,0.32616037
"1022","CSTB","Cystatin-B","P04080",1.55120690336698,0.5590719
"1023","HNRNPUL2","Heterogeneous nuclear ribonucleoprotein U-like protein 2","Q1KMD3",0.721879998444408,0.38419062
"1024","HNRNPH3","Heterogeneous nuclear ribonucleoprotein H3","P31942",0.719312640103942,0.38949946
"1025","RPL22","60S ribosomal protein L22","P35268",0.713857728681494,0.40028527
"1026","SELENBP1","Selenium-binding protein 1","Q13228",1.41595528496931,0.41513336
"1027","DERL1","Derlin-1","Q9BUN8",0.738116786670474,0.35887551
"1028","PPP2CA","Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform","P67775",1.59251934170601,0.61433429
"1029","MSH2","DNA mismatch repair protein Msh2","P43246",1.41201743177875,0.41225162
"1030","MMAB","Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial","Q96EY8",1.34202289442363,0.35060877
"1031","GPR89B","Golgi pH regulator B","P0CG08",1.28715579570886,0.305825
"1032","YIPF6","Protein YIPF6","Q96EC8",1.40327198199185,0.40975314
"1033","GDI2","Rab GDP dissociation inhibitor beta","P50395",1.23929027128118,0.27167287
"1034","GEMIN5","Gem-associated protein 5","Q8TEQ6",1.34385237854855,0.3556253
"1035","IK","Protein Red","Q13123",0.732285359364236,0.37621209
"1036","PNN","Pinin","Q9H307",0.752202156360608,0.34658161
"1037","TXN2","Thioredoxin, mitochondrial","Q99757",1.32839338642128,0.34724215
"1038","PPIC","Peptidyl-prolyl cis-trans isomerase C","P45877",0.748367368843658,0.35457242
"1039","CD44","CD44 antigen","P16070",0.644611909228745,0.5856083
"1040","SAP18","Histone deacetylase complex subunit SAP18","O00422",1.42316274973674,0.44005662
"1041","RHOA","Transforming protein RhoA","P61586",0.805315064507728,0.28177676
"1042","GPC1","Glypican-1","P35052",1.38862288455239,0.40884739
"1043","PSMA4","Proteasome subunit alpha type-4","P25789",1.3220401988285,0.34874025
"1044","RPL15","60S ribosomal protein L15","P61313",1.37261332180256,0.39591855
"1045","CAPNS1","Calpain small subunit 1","P04632",1.23214855676742,0.2766948
"1046","HLA-H","Putative HLA class I histocompatibility antigen, alpha chain H","P01893",0.774799644094214,0.32324028
"1047","SERBP1","Plasminogen activator inhibitor 1 RNA-binding protein","Q8NC51",1.42915712633808,0.45612127
"1048","MRPL3","39S ribosomal protein L3, mitochondrial","P09001",0.871840448300389,0.22000167
"1049","RNF20","E3 ubiquitin-protein ligase BRE1A","Q5VTR2",0.736127472681541,0.38642687
"1050","SNRPA","U1 small nuclear ribonucleoprotein A","P09012",0.80190881353645,0.29116657
"1051","GALNS","N-acetylgalactosamine-6-sulfatase","P34059",0.744061164587929,0.37341323
"1052","BCLAF1","Bcl-2-associated transcription factor 1","Q9NYF8",1.33908451053443,0.36911279
"1053","MRPS7","28S ribosomal protein S7, mitochondrial","Q9Y2R9",0.751617424107252,0.36203638
"1054","TRAM1","Translocating chain-associated membrane protein 1","Q15629",0.740523555504377,0.38050961
"1055","PVR","Poliovirus receptor","P15151",0.722629328719695,0.41382033
"1056","FUNDC2","FUN14 domain-containing protein 2","Q9BWH2",1.38754336573954,0.41792381
"1057","OGT","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit","O15294",0.72661072812529,0.40743932
"1058","PHB2","Prohibitin-2","Q99623",0.697166973351416,0.46781474
"1059","EBP","3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase","Q15125",0.681838002072038,0.50660247
"1060","RPL30","60S ribosomal protein L30","P62888",0.654652694017134,0.58057511
"1061","SLC25A12","Calcium-binding mitochondrial carrier protein Aralar1","O75746",0.798541077295087,0.30023172
"1062","CST4","Cystatin-S","P01036",1.36450520428849,0.40053245
"1063","DTYMK","Thymidylate kinase","P23919",0.744782460210101,0.38472748
"1064","PHIP","PH-interacting protein","Q8WWQ0",0.688760871061723,0.50246507
"1065","S100A14","Protein S100-A14","Q9HCY8",0.726205257264818,0.42185283
"1066","MTPN","Myotrophin","P58546",0.776181434463615,0.33830768
"1067","NUP160","Nuclear pore complex protein Nup160","Q12769",0.712835702525469,0.4489567
"1068","SERPINB6","Serpin B6","P35237",0.812381804695183,0.29164025
"1069","UTS2","Urotensin-2","O95399",0.834068496661127,0.26763883
"1070","RPS11","40S ribosomal protein S11","P62280",1.41408025118346,0.46459973
"1071","PTGFRN","Prostaglandin F2 receptor negative regulator","Q9P2B2",1.33373305429199,0.38325566
"1072","MTX1","Metaxin-1","Q13505",1.28319523993753,0.33726585
"1073","FKBP2","Peptidyl-prolyl cis-trans isomerase FKBP2","P26885",0.805492799934856,0.30232003
"1074","PSMD11","26S proteasome non-ATPase regulatory subunit 11","O00231",1.40493381254229,0.45748258
"1075","PGS1","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial","Q32NB8",0.758989030103109,0.36982745
"1076","RPS27L","40S ribosomal protein S27-like","Q71UM5",0.766396455578745,0.3583129
"1077","CSRP1","Cysteine and glycine-rich protein 1","P21291",0.674820899573086,0.54914439
"1078","ANTXR1","Anthrax toxin receptor 1","Q9H6X2",0.796665257848632,0.31707954
"1079","TXNDC12","Thioredoxin domain-containing protein 12","O95881",1.32344413820501,0.3799462
"1080","SLFN12L","Schlafen family member 12-like","Q6IEE8",0.786459681661364,0.33502525
"1081","HNRNPA1","Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed","Q32P51",0.677252850740999,0.55130321
"1082","IPO5","Importin-5","O00410",1.38652171047729,0.44760218
"1083","DRG1","Developmentally-regulated GTP-binding protein 1","Q9Y295",1.36518375912811,0.4258185
"1084","GOLIM4","Golgi integral membrane protein 4","O00461",1.2283150015813,0.30069017
"1085","PALLD","Palladin","Q8WX93",1.45069198606133,0.52542996
"1086","ARPC5L","Actin-related protein 2/3 complex subunit 5-like protein","Q9BPX5",0.739154232419556,0.41684219
"1087","DPYSL3","Dihydropyrimidinase-related protein 3","Q14195",0.733694149336999,0.42809922
"1088","TMED10","Transmembrane emp24 domain-containing protein 10","P49755",0.735452695008788,0.42495307
"1089","WDR3","WD repeat-containing protein 3","Q9UNX4",0.779095053542513,0.35238546
"1090","PDE4DIP","Myomegalin","Q5VU43",0.740153184045632,0.41943762
"1091","COMMD9","COMM domain-containing protein 9","Q9P000",0.777931059330866,0.35584381
"1092","SCO1","Protein SCO1 homolog, mitochondrial","O75880",1.38644135263256,0.4585526
"1093","CAPRIN1","Caprin-1","Q14444",0.842761926915515,0.27501521
"1094","AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal","O00116",0.662475914753327,0.6119132
"1095","GNB1L","Guanine nucleotide-binding protein subunit beta-like protein 1","Q9BYB4",0.803516436703783,0.32495657
"1096","DSTN","Destrin","P60981",1.39814786406821,0.47852817
"1097","TAGLN2","Transgelin-2","P37802",0.717740713503588,0.47311684
"1098","SRP54","Signal recognition particle 54 kDa protein","P61011",1.30489174355137,0.38085976
"1099","CNTNAP1","Contactin-associated protein 1","P78357",0.737786243961419,0.43232918
"1100","LEMD3","Inner nuclear membrane protein Man1","Q9Y2U8",1.2371916411552,0.31973365
"1101","WDR75","WD repeat-containing protein 75","Q8IWA0",0.700814579050224,0.51378012
"1102","MAOB","Amine oxidase [flavin-containing] B","P27338",0.729508914488603,0.45249417
"1103","IGJ","Immunoglobulin J chain","P01591",0.797009847830723,0.3373335
"1104","ITGA3","Integrin alpha-3","P26006",0.736988938218145,0.43787882
"1105","NCL","Nucleolin","P19338",1.46918515815891,0.5703007
"1106","PCSK9","Proprotein convertase subtilisin/kexin type 9","Q8NBP7",0.825112105226644,0.30101332
"1107","CARHSP1","Calcium-regulated heat stable protein 1","Q9Y2V2",0.676750134482126,0.58227915
"1108","PGK1","Phosphoglycerate kinase 1","P00558",1.38559260404356,0.47057042
"1109","SPRR1B","Cornifin-B","P22528",0.744110244193731,0.42689738
"1110","KANK2","KN motif and ankyrin repeat domain-containing protein 2","Q63ZY3",0.791532320596493,0.34837988
"1111","NCEH1","Neutral cholesterol ester hydrolase 1","Q6PIU2",0.681536030023795,0.57285678
"1112","EIF3B","Eukaryotic translation initiation factor 3 subunit B","P55884",1.32552028532066,0.41153115
"1113","AAAS","Aladin","Q9NRG9",1.30395652748639,0.39115706
"1114","L2HGDH","L-2-hydroxyglutarate dehydrogenase, mitochondrial","Q9H9P8",0.724489952971297,0.47265756
"1115","ITGB5","Integrin beta-5","P18084",0.76811765609688,0.38944876
"1116","HADH","Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial","Q16836",0.795867292542865,0.3469238
"1117","RPS10","40S ribosomal protein S10","P46783",1.44671759884827,0.55442834
"1118","IDH3G","Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial","P51553",1.29885153696472,0.38786727
"1119","MTHFD1L","Monofunctional C1-tetrahydrofolate synthase, mitochondrial","Q6UB35",1.16426424372051,0.27184933
"1120","DHX30","Putative ATP-dependent RNA helicase DHX30","Q7L2E3",1.30624134956784,0.39884353
"1121","DNAH2","Dynein heavy chain 2, axonemal","Q9P225",1.3188452492899,0.41534486
"1122","SHMT2","Serine hydroxymethyltransferase, mitochondrial","P34897",0.679363590274576,0.59911853
"1123","SEC62","Translocation protein SEC62","Q99442",0.771874521241152,0.3922222
"1124","RFC2","Replication factor C subunit 2","P35250",0.780907680992949,0.37781402
"1125","MRPL18","39S ribosomal protein L18, mitochondrial","Q9H0U6",1.3479321525956,0.44872075
"1126","DMBT1","Deleted in malignant brain tumors 1 protein","Q9UGM3",0.780837672384575,0.37882173
"1127","ZCCHC16","Zinc finger CCHC domain-containing protein 16","Q6ZR62",0.835668595158495,0.3026028
"1128","SF1","Splicing factor 1","Q15637",1.31658213089978,0.41914338
